,Unnamed: 0,producto,precio,precio_rel,link,oferta,Q,precio_medida,medida,Q_medida,precio_medida1,precio_medida2
84,84,LA BROCHE Fun roll carne barbacoa con bacon bandeja 260 gr,1.85,7.12/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 260 gr,7.12,Kg,0.26,7.12,7.12
85,85,DIQUESI ensalada lorena con queso de cabra y mostaza con miel tarrina 145 gr,2.89,19.93/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 145 gr,19.93,Kg,0.145,19.93,19.93
86,86,DIA AL PUNTO salmorejo envase 1 lt,1.65,1.65/l,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 1 lt,1.65,l,1.0,1.65,1.65
87,87,PALACIOS tortilla de patatas con cebolla envase 650 gr ,3.69,5.68/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 650 gr ,5.68,Kg,0.65,5.68,5.68
88,88,GARDEN GOURMET hamburguesas vegetarianas bandeja 180 gr,3.59,19.94/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 180 gr,19.94,Kg,0.18,19.94,19.94
89,89,PALACIOS tortilla de patatas con espinacas envase 300 gr,2.05,6.83/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 300 gr,6.83,Kg,0.3,6.83,6.83
90,90,TA TUNG fideos yakisoba con pollo bandeja 300 gr,3.25,10.83/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 300 gr,10.83,Kg,0.3,10.83,10.83
91,91,DIA AL PUNTO gazpacho suave envase 1 lt,1.29,1.29/l,https://www.dia.es/compra-online/platos-preparados/cf?page=1&disp=,0, 1 lt,1.29,l,1.0,1.29,1.29
92,92,DIQUESI hamburguesas veganas de calabacin y quinoa bandeja 200 gr,2.65,13.25/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 200 gr,13.25,Kg,0.2,13.25,13.25
93,93,AGUINAMAR mejillones en su jugo envase 500 gr,4.09,8.18/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 500 gr,8.18,Kg,0.5,8.18,8.18
94,94,AGUINAMAR mejillones en salsa de tomate envase 500 gr,4.09,8.18/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 500 gr,8.18,Kg,0.5,8.18,8.18
95,95,CAMPOFRÃO Vegalia pizza vegetariana envase 360 gr,2.59,7.19/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 360 gr,7.19,Kg,0.36,7.19,7.19
96,96,FLORETTE ensalada cesar light con pollo y queso tarrina 205 gr,2.85,13.90/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 205 gr,13.90,Kg,0.205,13.90,13.9
97,97,DIA AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr,1.85,3.08/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 600 gr,3.08,Kg,0.601,3.08,3.08
98,98,DIA AL PUNTO tortilla de patatas fresca con cebolla envase 600 gr,1.85,3.08/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 600 gr,3.08,Kg,0.601,3.08,3.08
