,producto,precio,cantidad,medida,cantidad_
176,Patata de guarnicion maLLa 1 kg,1.09,1.0,kg,1.0
177,DIA GALATEA queso raLLado especiaL para gratinar boLsa 200 gr,0.99,0.2,kg,0.2
178,Apio boLsa 500 gr,0.99,0.5,kg,0.5
179,LA GULA DEL NORTE aL ajiLLo envase 110 gr,2.99,0.11,kg,0.11
180,SELECCIÃÂN DE DIA fiLetes de pechuga de poLLo bandeja (peso aprox. 760 gr),5.55,0.76,kg,0.76
181,Naranja de zumo maLLa 4 kg ,3.59,3.989,kg,3.989
182,DIA EL CENCERRO queso tierno Light en Lonchas envase 200 gr,1.99,0.2,kg,0.2
183,REVILLA chorizo tradicion en Lonchas sobre 70 gr,0.99,0.07,kg,0.07
184,CeboLLa buti 1 kg,1.19,1.0,kg,1.0
185,DIA LACTEA queso raLLado emmentaL boLsa 200 gr,1.29,0.2,kg,0.2
186,Pimiento tipo padron boLsa 200 gr,1.05,0.2,kg,0.2
187,Puerro bandeja 450 gr,1.69,0.5,kg,0.5
188,Patata Lavada maLLa 5 kg,4.99,4.99,kg,4.99
189,Ajo morado maLLa 250 gr,1.45,0.25,kg,0.25
190,Limones maLLa 1 kg,1.89,1.0,kg,1.0
191,SELECCIÃÂN DE DIA pechugas enteras de poLLo bandeja (peso aprox. 600 gr),3.91,0.6,kg,0.6
192,Conejo entero bandeja (peso aprox. 1560 gr),9.28,1.56,kg,1.56
193,VEGA E HIJOS queso fresco artesano envase 250 gr,1.99,0.25,kg,0.25
194,MeLon pieL de sapo unidad (3.5 kg aprox.),5.92,3.503,kg,3.503
195,GARCIA BAQUERO queso semicurado cuna 325 gr,3.95,0.325,kg,0.325
196,DIA SELECCIÃÂN MUNDIAL queso edam cuna 470 gr,3.15,0.47,kg,0.47
197,DIA chistorra pieza 220 gr ,1.25,0.22,kg,0.22
198,GARCIA BAQUERO queso semicurado ya cortado envase 250 gr,4.69,0.25,kg,0.25
199,EL CASERIO queso raLLado 4 quesos boLsa 150 gr,2.29,0.15,kg,0.15
200,CASA TARRADELLAS espetec extra pieza 180 gr,2.09,0.18,kg,0.18
201,CASA TARRADELLAS cintas de bacon envase 2x100 gr,1.99,0.2,kg,0.2
202,GARCIA BAQUERO queso curado ya cortado pieza 250 g,4.85,0.25,kg,0.25
203,BURGO DE ARIAS queso fresco mini naturaL envase pack 3x72 g,2.39,0.216,kg,0.216
204,SELECCIÃÂN DE DIA fiLetes de contramusLo de poLLo bandeja (peso aprox. 640 gr),4.15,0.639,kg,0.639
205,Banana unidad (300 gr aprox.),0.27,0.303,kg,0.303
206,Aguacate unidad (300 gr aprox.),1.31,0.301,kg,0.301
207,Berenjena unidad (420 gr aprox.),0.63,0.423,kg,0.423
208,RepoLLo rizado unidad (2 kg aprox),1.98,2.0,kg,2.0
209,Manzana granny unidad (200 gr aprox.),0.35,0.2,kg,0.2
210,Pina unidad (2.3 kg aprox.),2.51,2.303,kg,2.303
211,Uva roja racimo (980 gr aprox.),2.73,0.978,kg,0.978
212,PomeLo unidad (400 gr aprox.),0.8,0.402,kg,0.402
213,DIA SELECCIÃÂN MUNDIAL saLmon ahumado noruego sobre 200 gr,5.69,0.2,kg,0.2
214,DIA EL CENCERRO queso azuL envase 150 gr,1.45,0.15,kg,0.15
215,PHILADELPHIA queso para untar originaL tarrina 250 gr,2.09,0.25,kg,0.25
216,CeboLLa duLce unidad (400 gr aprox.),1.0,0.402,kg,0.402
217,Tomate pera unidad (250 gr aprox.),0.37,0.248,kg,0.248
218,PHILADELPHIA queso para untar Light tarrina 250 gr,2.09,0.25,kg,0.25
219,DIA SELECCIÃÂN MUNDIAL queso mascarpone tarrina 250 gr ,1.79,0.25,kg,0.25
