,producto,precio,cantidad,medida,cantidad_
107,Galletas Safari Carrefour Classic pack de 3 unidades de 200 g.,1.49,0.601,kg,0.601
108,Galletas con tableta de chocolate y leche Carrefour 150 g.,0.94,0.15,kg,0.15
109,Yogur de limon. de galleta. de fresa y de macedonia Danone pack de 8 unidades de 125 g.,2.14,0.96,kg,0.96
110,Caldo casero de cocido Gallina Blanca pack de 2 briks de 1 l.,3.35,2.006,L,2.006
111,Tomate frito Hida sin gluten y sin lactosa lata 350 g.,0.99,0.35,kg,0.35
112,Ketchup Heinz envase 570 g.,2.35,0.57,kg,0.57
113,Leche desnatada Central Lechera Asturiana sin lactosa brik 1 l.,0.97,1.0,L,1.0
114,Tomate frito ecologico Carrefour Bio sin gluten 300 g.,0.99,0.3,kg,0.3
115,Tortilla de patatas con cebolla Carrefour Classic' sin gluten sin lactosa 600 g.,1.69,0.599,kg,0.599
116,Cafe molido natural Carrefour 250 g.,1.13,0.25,kg,0.25
117,Margarina Tulipan sin gluten sin aceite de palma 450 g.,1.99,0.45,kg,0.45
118,Salsa de tomate De la Abuela Carrefour tarro 580 g.,1.54,0.55,kg,0.55
119,Garbanzo categoria extra Carrefour 1 kg.,1.9,1.0,kg,1.0
120,Mantequilla con sal Carrefour 250 g.,1.25,0.25,kg,0.25
121,Aceitunas verdes manzanilla sin hueso Carrefour 400 g.,1.6,0.4,kg,0.4
122,Petit de fresa Danonino sin gluten pack de 6 unidades de 50 g.,1.19,0.3,kg,0.3
123,Espirales vegetales Carrefour 500 g.,0.69,0.5,kg,0.5
124,Fideua Carrefour 500 g.,0.7,0.5,kg,0.5
125,Oregano Carrefour 11 g.,0.35,0.011,kg,0.011
126,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
127,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
128,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
129,Sopa de pollo con fideos finos Gallina Blanca pack de 3 sobres de 71 g.,1.56,0.213,kg,0.213
130,Caldo de pollo Carrefour sin gluten pack de 4 briks de 1 l.,2.74,4.029,L,4.029
131,Atun claro en aceite de girasol Carrefour pack de 8 latas de 52 g.,4.2,0.416,kg,0.416
132,Leche entera Central Lechera Asturiana botella 1.5 l.,1.25,1.506,L,1.506
