,precio,precio_anterior,precio_rel,producto,link
13,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96
14,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120
15,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120
16,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144
17,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144
18,1.62 ,1.43 ,16.20 /kg | 14.30 /kg,Conos de maiz Lay's 3D's 100 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
19,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
20,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=168
21,1.68 ,1.53 ,3.91 /l | 3.56 /l,Ketchup Hellmann's envase 430 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
22,1.19 ,1.15 ,5.41 /kg | 5.23 /kg,Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
23,1.73 ,1.60 ,1.73 /kg | 1.60 /kg,Arroz integral Sos 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
24,2.73 ,2.70 ,4.20 /kg | 4.15 /kg,Mayonesa Ligeresa sin lactosa tarro 650 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
25,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
26,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=192
27,2.89 ,2.85 ,10.70 /kg | 10.56 /kg,Piccolinis capricciosa Buitoni 270 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
28,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
29,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=216
30,2.29 ,2.09 ,15.90 /kg | 14.51 /kg,Calamares en salsa americana Calvo sin gluten y sin lactosapack de 3 unidades de 48 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
31,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
32,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=240
33,1.99 ,1.79 ,7.24 /kg | 6.51 /kg,Galletas Mini The Simpson Siro 275 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
34,2.64 ,2.50 ,8.80 /kg | 8.33 /kg,Figuritas de mazapan Carrefour Sensation 300 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
35,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
36,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264
37,3.29 ,3.15 ,13.16 /kg | 12.60 /kg,Mantequilla facil de untar President 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
38,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
39,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288
40,4.05 ,3.75 ,4.05 /kg | 3.75 /kg,Arroz bomba Sos 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
41,2.69 ,2.65 ,38.99 /kg | 38.41 /kg,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
42,1.20 ,1.14 ,4.62 /kg | 4.38 /kg,Arroz con leche Danone sin gluten pack de 2 unidades de 130 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
43,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
44,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312
45,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336
46,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336
47,2.85 ,2.55 ,6.79 /kg | 6.07 /kg,Guisantes tiernos y muy finos sin azucares anadidos Bonduelle pack de 3 unidades de 140 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360
48,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360
49,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360
50,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=384
51,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=384
52,2.25 ,1.80 ,5.62 /kg | 4.50 /kg,Galletas Maria sin azucar Zero Gullon 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408
53,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408
54,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408
55,2.40 ,2.15 ,16 /kg | 14.33 /kg,Patatas fritas sal marina y trufa negra gourmet Lay's 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432
56,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432
57,2.05 ,1.87 ,4.10 /l | 3.74 /l,Crema de Alicia de calabaza. zanahoria y guisantes Knorr 500 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432
58,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432
59,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432
60,2.09 ,1.90 ,17.42 /kg | 15.83 /kg,Galletas rellena con crema de cacao Nocilla 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456
61,2.85 ,2.69 ,11.40 /kg | 10.76 /kg,Pannini de jamon y queso Dr. Oetker 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456
62,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456
63,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456
64,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480
65,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480
66,3.99 ,3.79 ,63.33 /kg | 60.16 /kg,Berberechos al natural Cabo de Penas 63 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504
67,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504
68,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504
69,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528
70,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528
71,5.25 ,4.65 ,6.25 /kg | 5.54 /kg,Maiz Bonduelle pack de 6x140 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552
72,6.69 ,6.19 ,3.34 /l | 3.09 /l,Caldo natural de puchero Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552
73,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552
74,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552
75,4.78 ,3.95 ,19.12 /kg | 15.80 /kg,Turron blando El Almendro sin gluten 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576
76,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576
77,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576
78,4.55 ,4.29 ,21.98 /kg | 20.72 /kg,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa pack de 3 unidades de 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600
79,3.20 ,2.75 ,18.82 /kg | 16.18 /kg,Gyoza de carne al vapor Ta-Tung 170 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600
80,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600
81,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600
82,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624
83,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624
84,2.49 ,2.29 ,15.56 /kg | 14.31 /kg,Galletas rellenas con crema de cacao Nocilla sin aceite de palma 160 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648
85,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648
86,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648
87,4.78 ,3.95 ,19.12 /kg | 15.80 /kg,Turron duro El Almendro sin gluten 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672
88,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672
89,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672
90,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696
91,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696
92,4.09 ,3.95 ,6.06 /kg | 5.85 /kg,Cereales integrales con chocolate y caramelo Lion Nestle 675 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720
93,1.83 ,1.63 ,5.63 /kg | 5.02 /kg,Salsa barbacoa sin azucar anadido Cero Prima sin gluten 325 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720
94,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720
95,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720
96,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744
97,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744
98,0.74 ,0.69 ,0.74 /l | 0.69 /l,Leche semidesnatada Circulo de Calidad Carrefour brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=768
99,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=768
100,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=768
101,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=792
102,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=792
103,2.89 ,2.69 ,6.88 /kg | 6.40 /kg,Cereales integrales Golden Grahams Nestle 420 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=816
104,2.57 ,2.49 ,21.42 /kg | 20.75 /kg,Tomates secos con aceite de oliva y girasol Carrefour 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=816
105,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=816
106,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=816
107,2.09 ,1.99 ,3.48 /kg | 3.32 /kg,Ketchup Prima envase 600 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840
108,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840
109,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840
110,16.49 ,12.99 ,20.61 /kg | 16.24 /kg,Bombones surtidos de chocolate Nestle Caja Roja 800 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864
111,1.89 ,1.74 ,31.50 /kg | 29 /kg,Ajo en polvo Carmencita sin gluten 60 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864
112,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864
113,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864
114,2.49 ,2.39 ,11.86 /kg | 11.38 /kg,Mostaza a la antigua Maille tarro 210 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888
115,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888
116,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888
117,2.25 ,2.09 ,27.44 /kg | 25.49 /kg,Sardinillas en aceite de oliva Albo 82 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
118,2.69 ,2.45 ,9.75 /kg | 8.88 /kg,Tortellini de ricotta y espinacas Buitoni 276 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
119,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
120,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
121,1.58 ,1.48 ,22.90 /kg | 21.45 /kg,Sopa Thai de fideos. setas y coco Knorr 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
122,3.19 ,3.10 ,7.97 /kg | 7.75 /kg,Surtido de pastas artesanas Reglero 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
123,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
124,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
125,2.25 ,2.09 ,3.95 /kg | 3.67 /kg,Ketchup cero Prima sin gluten envase 570 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
126,5.05 ,4.65 ,25.25 /kg | 23.25 /kg,Chocolate negro 85% Lindt Excellence pack de 2 tabletas de 100 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
127,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
128,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
129,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=984
130,0.82 ,0.79 ,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=984
131,3.86 ,3.49 ,3.86 /kg | 3.49 /kg,Jamoncitos de pollo Carrefour 1 kg aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=24
132,4.79 ,2.95 ,0.96 /kg | 0.59 /kg,Patata lavada Carrefour 5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=24
133,1.19 ,0.79 ,2.38 /kg | 1.58 /kg,Brocoli Carrefour 500g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=24
134,2.78 ,1.98 ,1.39 /kg | 0.99 /kg,Mandarina malla de2 kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=48
135,19.87 ,7.95 /kg,Salmon Calidad y Origen Carrefour 2.5 kg aproxTipo de corte:Entero,Lomos,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=48
136,4.79 ,2.95 ,0.96 /kg | 0.59 /kg,Patata lavada Carrefour 5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=48
137,1.19 ,0.79 ,2.38 /kg | 1.58 /kg,Brocoli Carrefour 500g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=48
138,4.19 ,4.11 ,6.99 /kg | 6.85 /kg,Pechuga de pavo fileteada Carrefour 600 g aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
139,1.98 ,1.58 ,0.99 /kg | 0.79 /kg,Pina golden ripe 2 Kg aprox ,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
140,2.09 ,1.65 ,1.39 /kg | 1.10 /kg,Pera conferencia Carrefour 1.5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
141,4.79 ,2.95 ,0.96 /kg | 0.59 /kg,Patata lavada Carrefour 5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
142,1.19 ,0.79 ,2.38 /kg | 1.58 /kg,Brocoli Carrefour 500g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
143,2.31 ,15.40 /kg,Pechuga de pavo natural asada Frial al corte 150 g aprox,Sin glutenTipo de corte:Loncha fina 1mm,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
144,9.12 ,8.99 ,25.33 /kg | 24.97 /kg,Salmon ahumado noruego Carrefour pack de 2 unidades de 180 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
145,1.91 ,1.78 ,16.61 /kg | 15.48 /kg,Jamon cocido al vapor Campofrio Finissimas sin gluten y sin lactosa 115 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
146,4.79 ,2.95 ,0.96 /kg | 0.59 /kg,Patata lavada Carrefour 5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
147,1.19 ,0.79 ,2.38 /kg | 1.58 /kg,Brocoli Carrefour 500g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=96
148,5.45 ,4.79 ,27.25 /kg | 23.95 /kg,Salmon ahumado noruego Carrefour 200 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
149,2.65 ,1.35 ,3.53 /kg | 1.80 /kg,Kiwi nacional 750 g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
150,2.39 ,2.19 ,3.98 /kg | 3.65 /kg,Pan de molde rebanada estilo artesano Bimbo 600 g.,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
151,6.30 ,5.87 ,5.25 /kg | 4.89 /kg,Pechuga de pollo Carrefour 1.2 kg aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
152,4.79 ,2.95 ,0.96 /kg | 0.59 /kg,Patata lavada Carrefour 5 Kg,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
153,1.19 ,0.79 ,2.38 /kg | 1.58 /kg,Brocoli Carrefour 500g,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=120
154,3.93 ,3.49 ,3.93 /kg | 3.49 /kg,Chuleta de aguja de cerdo Carrefour 1 kg aprox,https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=144
