,producto,producto_1,otro,precio/kilo
48,"







                    Espuma limpiadora








					 2.39*


						100 ml = 1.92




                Limpiadora






            Compra ",                    Espuma limpiadora 2.39*100 ml = 1.92                Limpiadora            Compra ,                    Espuma limpiadora 2.39,100 ml = 1.92                Limpiadora            Compra 
49,"







                    Sérum concentrado








					 3.99*


						100 ml = 13.30




                Concentrado.






            Compra ",                    Sérum concentrado 3.99*100 ml = 13.30                Concentrado.            Compra ,                    Sérum concentrado 3.99,100 ml = 13.30                Concentrado.            Compra 
50,"







                    Ampollas faciales luz azul








					 3.49*


						100 ml = 24.93











            Compra ",                    Ampollas faciales luz azul 3.49*100 ml = 24.93            Compra ,                    Ampollas faciales luz azul 3.49,100 ml = 24.93            Compra 
51,"







                    Contorno de ojos luz azul








					 3.49*


						100 ml = 23.27











            Compra ",                    Contorno de ojos luz azul 3.49*100 ml = 23.27            Compra ,                    Contorno de ojos luz azul 3.49,100 ml = 23.27            Compra 
52,"







                    Blue light crema








					 3.99*


						100 ml = 7.98




                Cuello y escote






            Compra ",                    Blue light crema 3.99*100 ml = 7.98                Cuello y escote            Compra ,                    Blue light crema 3.99,100 ml = 7.98                Cuello y escote            Compra 
53,"







                    Acondicionador con aroma frutal








					 2.49*


						1 l = 8.30




                Diferentes variedades






            Compra ",                    Acondicionador con aroma frutal 2.49*1 l = 8.30                Diferentes variedades            Compra ,                    Acondicionador con aroma frutal 2.49,1 l = 8.30                Diferentes variedades            Compra 
54,"







                    Champú con aroma frutal








					 2.49*


						1 l = 8.30




                Diferentes variedades






            Compra ",                    Champú con aroma frutal 2.49*1 l = 8.30                Diferentes variedades            Compra ,                    Champú con aroma frutal 2.49,1 l = 8.30                Diferentes variedades            Compra 
55,"







                    Mascarilla para cabello








					 2.49*


						1 l = 8.30




                Diferentes variedades






            Compra ",                    Mascarilla para cabello 2.49*1 l = 8.30                Diferentes variedades            Compra ,                    Mascarilla para cabello 2.49,1 l = 8.30                Diferentes variedades            Compra 
56,"







                    Champú argán








					 1.69*


						1 l = 4.23











            Compra ",                    Champú argán 1.69*1 l = 4.23            Compra ,                    Champú argán 1.69,1 l = 4.23            Compra 
57,"







                    Elixir de argán








					 3.99*





                Para cabello






            Compra ",                    Elixir de argán 3.99*                Para cabello            Compra ,                    Elixir de argán 3.99,                Para cabello            Compra 
58,"







                    Mascarilla








					 1.89*


						1 l = 4.73




                Rizos/suave y liso/reparación






            Compra ",                    Mascarilla 1.89*1 l = 4.73                Rizos/suave y liso/reparación            Compra ,                    Mascarilla 1.89,1 l = 4.73                Rizos/suave y liso/reparación            Compra 
59,"







                    Champú Provitamina








					 1.15*


						1 l = 3.84




                Clásico






            Compra ",                    Champú Provitamina 1.15*1 l = 3.84                Clásico            Compra ,                    Champú Provitamina 1.15,1 l = 3.84                Clásico            Compra 
60,"







                    Champú Provitamina








					 1.15*


						1 l = 3.84




                Diferentes variedades






            Compra ",                    Champú Provitamina 1.15*1 l = 3.84                Diferentes variedades            Compra ,                    Champú Provitamina 1.15,1 l = 3.84                Diferentes variedades            Compra 
61,"



",,,
