,producto,precio,precio/kg,none
3780,FREIXENET cava semiseco carta nevada botella 75 cl,4.79,6.39/l,
3781,DANTE vino rosado lambrusco botella 75 cl,1.85,2.47/l,
3782,BLUME vino blanco joven DO Rueda botella 75 cl,3.80,5.07/l,
3783,VIÑA ALBALI vino tinto crianza DO Valdepeñas botella 75 cl,2.65,3.53/l,
3784,"










					EL COTO vino tinto crianza DO Rioja botella 75 cl",5.49,7.32/l,
3785,"










					BARCELO ron añejo botella 70 cl",13.99,19.99/l,
3786,"










					SINGULAR vino fino DO Montilla Moriles botella 75 cl",2.25,3.00/l,
3787,CASTILLO DE ALBAI vino tinto DO Rioja botella 75 cl,2.99,3.99/l,
3788,"










					FAUSTINO RIVERO ULECIA vino tinto crianza DO Rioja botella 75 cl",4.25,5.67/l,
3789,"BOMBAY Original ginebra london dry botella 70 cl


12.99",11.99,"

18.56/l.
17.13/l.

","		11.99 €



"
3790,BACARDI ron blanco superior botella 70 cl,10.99,15.70/l,
3791,CASTILLO DE SAN DIEGO BARBADILLO vino blanco de la tierra  botella 75 cl,3.75,5.00/l,
3792,"










					PASSPORT whisky botella 70 cl",9.49,13.56/l,
3793,LARIOS 12 ginebra botella 70 cl,13.99,19.99/l,
3794,MAYOR DE CASTILLA vino tinto roble DO Ribera del Duero botella 75 cl ,4.99,6.65/l,
3795,ANTAÑO vino tinto crianza DO Rioja botella 75 cl,3.19,4.25/l,
3796,"










					BAJOZ vino tinto DO Toro botella 75 cl",3.35,4.47/l,
3797,MIKANOFF vodka con sabor a caramelo botella 70 cl,4.59,6.56/l,
3798,TORRES brandy 5 solera reserva botella 70 cl,9.25,13.21/l,
3799,ABADIA DA COVA licor de café botella 70 cl,9.99,14.27/l,
3800,"










					SOLELL DE FLIX vino blanco semidulce DO Penedés botella 75 cl",2.55,3.40/l,
3801,"










					CAMPO VIEJO vino tinto cvc DO Rioja botella 75 cl",3.85,5.13/l,
3802,MAYOR DE CASTILLA vino tinto crianza DO Ribera de Duero botella 75 cl,3.99,5.32/l,
3803,MARQUES DE CACERES vino tinto crianza DO Rioja botella 75 cl,6.95,9.27/l,
3804,"










					PALACIO DE ALCANTARA vino tinto crianza DO Rioja botella 75 cl",4.61,6.15/l,
3805,PROTOS vino tinto roble DO Ribera de Duero botella 75 cl,8.59,11.45/l,
3806,PROTOS vino blanco verdejo DO Rueda botella 75 cl,6.95,9.27/l,
3807,"










					BORSAO vino tinto DO Campo de Borja botella 75 cl",2.75,3.67/l,
3808,"










					GRAN CAMPELLAS vino tinto DO Campo de Borja botella 75 cl",3.45,4.60/l,
3809,"










					SEÑORÍO DE ONDAS vino rosado DO Rioja botella 75 cl",2.19,2.92/l,
3810,"










					COTO DE IMAZ vino tinto reserva DO Rioja botella 75 cl",7.99,10.65/l,
3811,"










					FEDERICO PATERNINA vino tinto crianza banda azul DO Rioja botella 75 cl


5.85",4.39,"

7.80/l.
5.85/l.

","		-25%



"
3812,"










					RUAVIEJA licor de crema de orujo botella 70 cl",9.99,14.27/l,
3813,ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl,9.95,13.27/l,
3814,TERRY Centenario brandy botella 1 lt,8.75,8.75/l,
3815,CERCHAR licor de hierbas botella 70 cl,5.69,8.13/l,
3816,DIA GLADIADOR bebida espirituosa tipo brandy botella 1 lt,5.75,5.75/l,
3817,LAMBRUSCO FLAMINIA vino rosado botella 75 cl,2.55,3.40/l,
3818,"BOMBAY Sapphire ginebra botella 70 cl
",17.95,25.64/l,
3819,RUEDA CUNE vino blanco verdejo botella 75 cl,5.25,7.00/l,
3820,EL COTO vino blanco rioja botella 75 cl,3.49,4.65/l,
3821,BURNED BARREL whisky botella 70 cl,5.49,7.84/l,
3822,"










					SEÑORIO DE ONDAS vino tinto crianza do rioja botella 50 cl ",2.35,4.70/l,
3823,"










					RAMON BILBAO vino tinto crianza DO Rioja botella 75 cl ",9.29,12.39/l,
3824,PROTOS CRIANZA vino tinto crianza DO Ribera del Duero botella 75 cl,16.75,22.33/l,
3825,LEGARIS vino tinto roble DO Ribera de Duero botella 75 cl,7.95,10.60/l,
3826,"










					AZPILICUETA vino tinto crianza DO rioja botella 75 cl",7.99,10.65/l,
3827,"










					MAGNO brandy de jerez solera reserva botella 70 cl",10.75,15.36/l,
3828,VAT 69 whisky botella 70 cl,8.69,12.41/l,
3829,JOHNNIE WALKER whisky red label botella 70 cl,13.49,19.27/l,
3830,"










					VEGA DEL BARÓN vino blanco verdejo viura DO Rueda botella 75 cl",1.95,2.60/l,
3831,VIÑAS DEL VERO vino tinto D.O. somontano botella 75cl,5.25,7.00/l,
3832,SMIRNOFF vodka botella 70 cl,9.99,14.27/l,
3833,PUERTA DE ALCALÁ vino tinto crianza DO Madrid botella 75 cl,3.85,5.13/l,
3834,"










					TANQUERAY ginebra london dry botella 70 cl",13.49,19.27/l,
3835,"










					CASTILLO DE VELASCO vino tinto envase 1 lt",0.89,0.89/l,
3836,CASTILLO DE VELASCO vino blanco envase 1 lt,0.85,0.85/l,
3837,JAUME SERRA cava brut nature botella 75 cl,2.99,3.99/l,
3838,"










					VEGA DEL BARÓN vino blanco verdejo DO Rueda botella 75 cl",2.05,2.73/l,
3839,"










					JACK DANIELS whisky tenessee botella 70 cl",20.99,29.99/l,
3840,DON SIMON vino blanco envase 1 lt,1.45,1.45/l,
3841,MARTINI vermouth rosso botella 1 lt,8.99,8.99/l,
3842,MARTINI vermouth bianco botella 1 lt,8.99,8.99/l,
3843,ALTOS DE TAMARON vino tinto roble DO Ribera del Duero botella 75 cl ,5.39,7.19/l,
3844,"










					MALIBU ron de coco botella 70 cl ",10.90,15.57/l,
3845,LEGENDARIO ron elixir de cuba botella 70 cl ,14.55,20.79/l,
3846,YZAGUIRRE vermouth rojo botella 1 lt,6.90,6.90/l,
3847,"










					SEAGRAM'S ginebra botella 70 cl",14.99,21.41/l,
3848,FAUSTINO RIVERO vino tinto joven DO rioja botella 75 cl,3.50,4.67/l,
3849,PATA NEGRA vino blanco verdejo DO Rueda botella 75 cl,2.50,3.33/l,
3850,PALACIO DE ALCÁNTARA vino tinto PA 30 botella 75 cl,6.85,9.13/l,
3851,"










					PEÑASCAL vino rosado de aguja botella 75 cl ",3.59,4.79/l,
3852,BAJOZ ROBLE TORO vino tinto botella 75 cl ,3.99,5.32/l,
3853,"










					PATERNINA vino tinto reserva DO rioja botella 75 cl",4.79,6.39/l,
3854,FAUSTINO vino tinto gran reserva DO rioja botella 75 cl,17.95,23.93/l,
3855,ALVINI vermouth bianco botella 1 lt,1.99,1.99/l,
3856,"










					PUERTA DE ALCALÁ vino tinto DO Madrid botella 75 cl",2.85,3.80/l,
3857,LA CASTELLANA licor de anís dulce botella 70 cl,7.75,11.07/l,
3858,BERONIA RUEDA VERDEJO vino blanco botella 75 cl ,7.50,10.00/l,
3859,GORDONS ginebra botella 1 lt,12.49,12.49/l,
3860,MELIOR DE MATARROMERA vino tinto roble DO Ribera del Duero botella 75 cl ,8.15,10.87/l,
3861,"










					VIÑA ALBALI vino blanco verdejo botella 75 cl ",2.69,3.59/l,
3862,"










					VIÑAS DEL VERO vino blanco DO Somontano botella 75 cl ",5.25,7.00/l,
3863,SEÑORIO DE AYERBE vino chardonnay Do Castilla botella 75 cl ,1.85,2.47/l,
3864,"










					CONDOMINIUM vino blanco verdejo frizzante botella 75 cl ",2.59,3.45/l,
3865,"










					WORDENS whisky americano botella 70 cl",7.79,11.13/l,
3866,DON SIMON tinto de verano limón botella 1.5 lt,1.15,0.77/l,
3867,ALBALI vino tinto DO Valdepeñas botella 75 cl ,2.85,3.80/l,
3868,MATARROMERA vino tinto crianza DO Ribera del Duero botella 75 cl ,20.60,27.47/l,
3869,GLORIOSO vino tinto crianza DO Rioja botella 75 cl ,6.95,9.27/l,
3870,VELITERRA vino blanco verdejo DO Rueda botella 75 cl ,3.29,4.39/l,
3871,Licor de hierbas botella 70 cl ,5.99,8.56/l,
3872,JOHNNIE WALKER whisky black label botella 70 cl,22.49,32.13/l,
3873,"










					VETERANO brandy botella 1 lt",8.75,8.75/l,
3874,VIÑA POMAL vino tinto reserva DO Rioja botella 75 cl ,13.95,18.60/l,
3875,"










					CUATRO RAYAS vino blanco verdejo DO Rueda botella 75 cl ",4.99,6.65/l,
3876,BENJAMIN DE CODORNIU cava pack 3 botellas 20 cl ,4.99,8.32/l,
3877,EMINA vino blanco verdejo DO Ribera del Duero botella 75 cl ,5.55,7.40/l,
3878,CORTINA sidra natural botella 70 cl ,2.05,2.93/l,
3879,VIÑAS DEL VERO vino rosado botella 75 cl ,5.25,7.00/l,
3880,VIA DE LA PLATA cava brut botella 75 cl ,4.39,5.85/l,
3881,BERONIA vino tinto DO Rioja botella 75 cl ,13.20,17.60/l,
3882,DON SIMON sangría botella 1.5 lt,1.75,1.17/l,
3883,"










					EL GAITERO sidra botella 75 cl",1.95,2.60/l,
3884,"










					NORDES ginebra botella 70 cl ",22.99,32.84/l,
3885,"










					FAUSTINO RIVERO vino blanco verdejo Do Castilla botella 75 cl ",2.44,3.25/l,
3886,"










					RIBERA DE ALGODOR vino tinto crianza DO Castilla la Mancha botella 75 cl",1.49,1.99/l,
3887,SEÑORIO DE AYERBE vino tinto sirah botella 75 cl ,2.45,3.27/l,
3888,SEÑORIO DE AYERBE vino tinto merlot botella 75 cl ,2.45,3.27/l,
3889,HABLA DE LA TIERRA vino tinto botella 75 cl ,6.99,9.32/l,
3890,SEÑORIO DE ONDAS vino tinto gran reserva DO Rioja botella 75 cl ,7.89,10.52/l,
3891,"










					FAUSTINO RIVERO vino blanco semidulce Do Castilla botella 75 cl",3.25,4.33/l,
3892,"MAYOR DE CASTILLA vino tinto botella 75 cl 


3.05",2.13,"

4.07/l.
2.84/l.

","		-30%



"
3893,JAGERMEISTER licor botella 70 cl ,13.55,19.36/l,
3894,ALBALI vino tinto DO Valdepeñas botella 75 cl ,2.99,3.99/l,
3895,PUERTO DE INDIAS ginebra sabor fresa botella 70 cl ,14.95,21.36/l,
3896,PUERTA DE ALCALA vino tinto DO Madrid botella 75 cl,4.79,6.39/l,
3897,DON LUCIANO vino espumoso blue moscato botella 75 cl,2.25,3.00/l,
3898,FINCA MONCLOA vino tinto Do Cádiz botella 75 cl,16.25,21.67/l,
3899,DON SIMON vino blanco pack 3 unidades 180 ml,1.09,1.94/l,
3900,"










					LADRON DE MANZANAS sidra de manzana botella 25 cl",0.92,3.68/l,
3901,ZOCO pacharán botella 70 cl,8.29,11.84/l,
3902,ZARRO vermut rojo botella 1 lt,4.99,4.99/l,
3903,DEWARS whisky 8 años caribbean smooth botella 70 cl,10.99,15.70/l,
3904,ALMA vino blanco godello DO Monterrei botella 75 cl,5.49,7.32/l,
3905,VIRTUOSO vino blanco caja 3 lt,4.29,1.43/l,
3906,"










					FAUSTINO RIVERO vino blanco verdejo frizzante botella 75 cl",1.99,2.65/l,
3907,FAUSTINO RIVERO vino blanco afrutado botella 75 cl,3.25,4.33/l,
3908,TANQUERAY preparado de ginebra & tónica botella 275 ml,2.49,9.05/l,
3909,TANQUERAY preparado de ginebra & tónica flor de sevilla botella 275 ml,2.49,9.05/l,
3910,CAMPO CURERO vino tinto roble DO Toro botella 75 cl,2.69,3.59/l,
3911,CAMPO CURERO vino tinto viñas viejas DO Toro botella 75 cl,4.89,6.52/l,
3912,CASTILLO DE VELASCO vino rosado envase 1 lt,0.89,0.89/l,
3913,CASTILLO DE HARO vino rosado DO Rioja 75 cl,3.09,4.12/l,
3914,CASTILLO DE HARO vino tinto joven madurado DO Rioja botella 75 cl,3.75,5.00/l,
3915,CASTILLO DE HARO vino tinto crianza DO Rioja botella 75 cl,3.99,5.32/l,
3916,SEÑORIO DE ONDAS vino blanco DO Rioja botella 75 cl,2.19,2.92/l,
3917,CASTILLO DE HARO vino tinto reserva DO Rioja botella 75 cl,6.99,9.32/l,
3918,LA PROHIBIDA sidra de manzanas rojas y verdes botella 25 cl,1.00,4.00/l,
3919,GRAND ASTORIA cava reserva brut nature botella 75 cl,3.79,5.05/l,
3920,VIÑA ARDANCHE vino blanco chardonnay DO Navarra botella 75 cl,1.99,2.65/l,
3921,ARCO DEL SOL vino tinto crianza DO Ribera de Duero botella 75 cl,3.80,5.07/l,
3922,ARCO DEL SOL vino tinto roble DO Ribera de Duero botella 75 cl,3.15,4.20/l,
3923,VIÑA DANZA vino blanco DO Valdepeñas botella 75 cl ,1.30,1.73/l,
3924,"










					ARCO DEL SOL vino tinto reserva DO Ribera de Duero botella 75 cl",5.39,7.19/l,
3925,VIÑA DANZA vino tinto crianza DO Valdepeñas botella 75 cl,1.99,2.65/l,
3926,VIÑA DANZA vino tinto reserva DO Valdepeñas botella 75 cl,2.29,3.05/l,
3927,VIÑA DANZA vino tinto joven DO Valdepeñas botella 75 cl,1.45,1.93/l,
3928,VIÑA DANZA vino rosado DO Valdepeñas botella 75 cl,1.30,1.73/l,
3929,TOPAZ vino blanco Pedro Ximénez DO Jerez botella 75 cl,5.65,7.53/l,
3930,PINTA EN COPAS vino rosado bobal botella 75 cl,1.60,2.13/l,
3931,PINTA EN COPAS vino tinto tempranillo syrah botella 75 cl,1.60,2.13/l,
3932,PINTA EN COPAS vino blanco viura-sauvignon botella 75 cl,1.60,2.13/l,
3933,RIBERA DE ALGODOR vino tinto reserva DO La Mancha botella 75 cl,1.89,2.52/l,
3934,VIÑA TABORA vino blanco IGP de Extremadura caja 3 lt,4.29,1.43/l,
3935,VALDERIVERO vino tinto joven DO Ribera de Duero botella 75 cl,3.99,5.32/l,
3936,MIRANDOLI vino tinto crianza DO Utiel Requena botella 75 cl,2.05,2.73/l,
3937,MIRANDOLI vino tinto reserva DO Utiel Requena botella 75 cl,2.75,3.67/l,
3938,DIA tinto de verano sin alcohol con limón botella 1.5 lt,0.85,0.57/l,
3939,HEREDAD BARÁN vino tinto roble D.O. Ribera del Duero botella 75 cl,4.39,5.85/l,
3940,HEREDAD BARÁN vino tinto crianza D.O. Ribera del Duero botella 75 cl,5.59,7.45/l,
3941,ABSTRACTIO vino tinto tempranillo botella 75 cl,2.40,3.20/l,
3942,ABSTRACTIO vino blanco sauvignon blanc botella 75 cl,2.40,3.20/l,
3943,RIO SECO vino blanco verdejo DO Rueda botella 75 cl,3.99,5.32/l,
3944,RIO SECO vino blanco sauvignon DO Rueda botella 75 cl,2.99,3.99/l,
3945,GERALDINO vino tinto crianza DO Cariñena botella 75 cl,1.99,2.65/l,
3946,GERALDINO vino tinto reserva DO Cariñena botella75 cl,2.55,3.40/l,
3947,CONDOMINIUM vino blanco frizzante 5º botella 75 cl,1.65,2.20/l,
3948,BALLANTINES whisky light botella 70 cl,10.50,13.89/l,
3949,CONDOMINIUM vino blue frizzante 7º botella 75 cl,1.75,2.33/l,
3950,SANDARA vino rosado espumoso DO Valencia botella 75 cl,3.30,4.40/l,
3951,PUERTA DE ALCALA vino blanco DO Madrid botella 75 cl,2.69,3.59/l,
3952,DULCE MARIA vino blanco botella 75 cl,3.55,4.73/l,
3953,CHINCHÓN licor de anís dulce botella 1 lt,9.99,9.99/l,
3954,HABLA DE TI vino blanco botella 75 cl,9.95,13.27/l,
3955,SISMICUS vino tinto joven DO Jumilla botella 75 cl,1.89,2.52/l,
3956,OCEANUS vino blanco suave y afrutado botella 75 cl,1.99,2.65/l,
3957,BLACK licor de crema de tequila con chocolate botella 70 cl,13.99,19.99/l,
3958,SISMICUS vino tinto ecológico DO Jumilla botella 75 cl,2.89,3.85/l,
3959,J&B whisky botánico botella 70 cl,10.99,15.70/l,
3960,TANQUERAY bebida espirituosa sin alcohol 0.0 botella 70 cl,12.99,18.56/l,
3961,LA PROHIBIDA sidra de manzanas rojas y verdes lata 33 cl,1.29,3.91/l,
3962,CONDOMINIUM vino frizzante moscato rosado 5.5º botella 75 cl,2.59,3.45/l,
3963,PROSPERO vino blanco espumoso moscato botella 75 cl,2.99,3.99/l,
3964,MOURAMA vino blanco albariño DO Rías Baixas botella 75 cl,6.05,8.07/l,
3965,DIA SIDRALLERO sidra espumosa botella 75 cl,0.99,1.32/l,
3966,DIA GLADIADOR brandy de Jerez solera botella 70 cl,5.59,7.99/l,
3967,DIA SIDRALLERO sidra espumosa pack 6 botellas 25 cl,2.85,1.90/l,
3968,"BEEFEATER bebida espirituosa light 20º botella 70 cl


14.09",12.00,"

20.13/l.
17.14/l.

","		Oferta



"
3969,BALLANTINES whisky escocés blended 10 años botella 70 cl,17.95,25.64/l,
3970,MOURAMA vino blanco DO Ribeiro botella 75 cl,3.95,5.64/l,
3971,MOURAMA vino tinto Mencia DO Monterrei botella 75 cl,3.99,5.32/l,
3972,CASTILLO DE VELASCO vino de cocina DO Montilla Moriles botella 75 cl,1.95,2.60/l,
3973,MIKANOFF vodka triple destilado botella 1 lt,5.99,5.99/l,
3974,DOU REGAL whisky escocés 3 años botella 70 cl,5.79,8.27/l,
3975,1902 licor de ginebra botella 70 cl,7.99,11.41/l,
3976,LOS MOLINOS vino blanco verdejo DO Valdepeñas botella 75 cl,1.96,2.61/l,
3977,CUMBRES DE GREDOS vino blanco envase 1 lt,1.45,1.45/l,
3978,CUMBRES DE GREDOS vino tinto envase 1 lt,1.45,1.45/l,
3979,J&B whisky botella 70 cl,10.99,15.70/l,
3980,"










					GRAND ASTORIA cava brut nature botella 75 cl",3.05,4.07/l,
3981,"










					GRAND ASTORIA cava semiseco botella 75 cl",1.95,2.60/l,
3982,WILLIAM LAWSONS whisky botella 70 cl,8.99,12.84/l,
3983,"










					VIÑA TABORA vino tinto de la tierra de extremadura caja 3 lt",4.35,1.45/l,
3984,DIA sangría botella 1.5 lt,1.25,0.83/l,
3985,"










					CACIQUE ron añejo botella 70 cl",10.99,15.70/l,
3986,"










					BAILEYS licor de crema whisky original botella 70 cl",11.99,17.13/l,
3987,"










					CASTILLO DE VELASCO vino tinto botella 75 cl",1.05,1.40/l,
3988,CASTILLO DE VELASCO vino blanco botella 75 cl,1.05,1.40/l,
3989,"










					VIÑA ARDANCHE vino tinto DO Navarra botella 75 cl",1.69,2.25/l,
3990,VIÑA ARDANCHE vino rosado DO Navarra botella 75 cl,1.79,2.39/l,
3991,"










					LARIOS ginebra botella 1 lt",10.75,10.75/l,
3992,LOS MOLINOS vino tinto DO Valdepeñas botella 75 cl,1.96,2.61/l,
3993,"










					GERALDINO vino blanco de uva moscatel botella 75 cl",2.85,3.80/l,
3994,VELERO ron blanco botella 70 cl,4.29,6.13/l,
3995,SOLELL DE FLIX vino tinto DO Penedés botella 75 cl,2.29,3.05/l,
3996,"










					BERBERANA SELECCIÓN ORO vino tinto de la tierra de Castila botella 75 cl",3.99,5.32/l,
3997,CANALS Y NUBIOLA cava brut botella 75 cl,3.89,5.19/l,
3998,"










					SEÑORIO DE ONDAS vino tinto  DO Rioja botella 75 cl",2.19,2.92/l,
3999,"










					ALVINI vermouth rosso botella 1 lt",1.99,1.99/l,
4000,DIA TEMPTATION helado de limón barqueta 540 gr ,1.85,3.43/Kg,
4001,DIA TEMPTATION tarta de whisky caja 531 gr,1.99,3.75/Kg,
4002,FINDUS menestra de la huerta bolsa 750 gr,4.19,5.59/Kg,
4003,DIA anillas de pota bolsa 400 gr,4.89,12.23/Kg,
4004,DIA MARI MARINERA caprichos a la romana bolsa 400 gr,1.59,3.98/Kg,
4005,DIA MARI MARINERA rabas empanadas bolsa 400 gr,2.59,6.48/Kg,
4006,DIA nuggets pollo bolsa 500 gr,2.25,4.50/Kg,
4007,DIA san jacobo caja 320 gr,0.99,3.09/Kg,
4008,LA COCINERA croquetas artesanas de cocido con jamón bolsa 500 gr,3.99,7.98/Kg,
4009,DIA TEMPTATION helado sabor stracciatella barqueta 525 gr,2.25,4.29/Kg,
4010,"










					LA GULA DEL NORTE gulas ultracongeladas bandeja 200 gr",5.49,27.45/Kg,
4011,DIA pizza campestre caja 400 gr,1.99,4.98/Kg,
4012,DIA MARI MARINERA langostino cocido grande 32/48 piezas caja 800 gr,7.49,9.36/Kg,
4013,DIA MARI MARINERA langostino crudo grande 32/48 piezas caja 800 gr,7.39,9.24/Kg,
4014,DIA VEGECAMPO cebolla troceada bolsa 400 gr,0.75,1.88/Kg,
4015,DR OETKER pannini jamón y queso caja 250 gr ,2.89,11.56/Kg,
4016,DIA canelones de atún caja 600 gr,2.19,3.65/Kg,
4017,DIA pizza 4 quesos caja 400 gr,1.95,4.88/Kg,
4018,DIA pizza atún y bacon caja 400 gr,1.99,4.98/Kg,
4019,DIA MARI MARINERA figuritas de merluza bolsa 400 gr,2.25,5.63/Kg,
4020,"










					LA COCINERA nuggets caja 350 gr",3.99,11.40/Kg,
4021,DIA preparado de paella con caldo envase 500 gr,3.59,7.18/Kg,
4022,"










					PESCANOVA filete de bacalao envase 400 gr",6.25,15.63/Kg,
4023,MAGNUM helado mini bombón mix caja 6 uds 300 gr,3.99,13.30/Kg,
4024,DIA rollitos de primavera caja 450 gr,2.25,5.00/Kg,
4025,"










					PESCANOVA corazones de merluza caja 500 gr",4.99,9.98/Kg,
4026,PESCANOVA filetes de merluza baby bolsa 400 gr,3.89,9.73/Kg,
4027,PESCANOVA anguriñas bandeja 200 gr ,1.99,9.95/Kg,
4028,DIA MARI MARINERA filetes de merluza del cabo sin piel bolsa 600 gr,3.99,6.65/Kg,
4029,DIA pizza boloñesa caja 375 gr,1.99,5.31/Kg,
4030,DIA AL PUNTO paella de marisco bolsa 600 gr,2.29,3.82/Kg,
4031,DIA mini croquetas de jamón bolsa 500 gr,1.09,2.18/Kg,
4032,BUITONI piccolinis de jamón y queso caja 270 gr,3.19,11.81/Kg,
4033,DIA pizza reina pack 2x350 gr,3.19,4.56/Kg,
4034,"










					Cubitos de hielo bolsa 2 Kg",0.69,0.35/Kg,
4035,DIA mini pizzas jamón y queso caja 270 gr,2.05,7.59/Kg,
4036,DIA nuggets pollo y queso bolsa 500 gr,2.39,4.78/Kg,
4037,DIA AL PUNTO salteado de setas y champiñones bolsa 450 gr,1.69,3.76/Kg,
4038,"










					MAGNUM helado mini bombón almendras caja 6 uds 300 gr",3.99,13.30/Kg,
4039,"










					DR OETKER ristorante pizza speciale caja 330 gr",3.48,10.55/Kg,
4040,"










					BUITONI Forno di pietra pizza jamón y queso caja 360 gr",3.24,9.26/Kg,
4041,FRIGO helado drácula caja 6 uds de 44 gr,3.49,13.22/Kg,
4042,"










					DR OETKER ristorante pizza atún caja 355 gr",3.48,9.80/Kg,
4043,DIA TEMPTATION helado sabor dulce de leche barqueta 525 gr ,2.25,4.29/Kg,
4044,DIA MARCELO CARAMELO polo refrescante mix para congelar bolsa 12 uds,1.05,1.75/l,
4045,DIA palitos de mozzarella bolsa 400 gr,2.95,7.38/Kg,
4046,DIA pechugas de pollo empanadas caja 320 gr,1.59,4.97/Kg,
4047,"










					LA COCINERA croquetas artesanas de jamón ibérico bolsa 400 gr",3.99,9.98/Kg,
4048,DIA pizza masa fina jamón y queso caja 350 gr,1.99,5.69/Kg,
4049,DIA TEMPTATION tarta laminada nata y chocolate caja 515 gr,1.65,3.20/Kg,
4050,"DIA MARI MARINERA almeja del Pacífico envase 450 gr


1.79",1.19,"

3.98/Kg.
2.64/Kg.

","		1.19 €



"
4051,"










					MERCADER granizado de limón pack 4 x 200 ml ",1.55,2.04/Kg,
4052,"










					PESCANOVA calamar limpio envase 400 gr",4.49,11.23/Kg,
4053,DIA VEGECAMPO habas baby bolsa 400 gr,1.49,3.73/Kg,
4054,McCain patatas fritas forno julienne bolsa 600 gr,2.89,4.82/Kg,
4055,"










					BUITONI Forno di pietra pizza caprese caja 350 gr",3.24,9.26/Kg,
4056,"










					MAHESO churros lazo bolsa 500 gr",1.49,2.98/Kg,
4057,"










					MAHESO porras prefritas bolsa 320 gr",2.15,6.72/Kg,
4058,DIA fingers de pollo bolsa 400 gr,2.39,5.98/Kg,
4059,DIA MARI MARINERA colas de gambón pelado crudo envase 200 gr,4.49,22.45/Kg,
4060,DR OETKER ristorante pizza 4 quesos caja 340 gr,3.48,10.24/Kg,
4061,"










					FINDUS espinacas cortadas bolsa 400 gr",1.99,4.98/Kg,
4062,"










					HAAGEN DAZS helado vainilla macadamia tarrina 400 gr ",5.99,14.98/Kg,
4063,"










					LA COCINERA fingers de pollo caja 320 gr",3.99,12.47/Kg,
4064,HAAGEN DAZS helado dulce de leche tarrina 400 gr,5.99,14.98/Kg,
4065,"










					HAAGEN DAZS helado tarta de queso tarrina 400 gr ",5.99,14.98/Kg,
4066,HAAGEN DAZS helado chocolate belga tarrina 400 gr ,5.99,14.98/Kg,
4067,"










					CAMPOS filetes de atún sin piel caja 225 gr",3.79,16.84/Kg,
4068,"










					PESCANOVA varitas de merluza 450 gr",2.49,5.53/Kg,
4069,"










					PESCANOVA merluza rebozada al huevo 320 gr",3.39,10.59/Kg,
4070,LA COCINERA san jacobo jamon y queso empanado 5 ud caja 388 gr,4.09,10.54/Kg,
4071,"










					BUITONI Forno di pietra pizza barbacoa caja 325 gr",3.24,9.97/Kg,
4072,DIA TEMPTATION helado de chocolate con trozos barqueta 500 gr,2.25,4.50/Kg,
4073,DR OETKER ristorante pizza prosciuto caja 330 gr,3.48,10.55/Kg,
4074,CARTE D' OR helado de chocolate brownie barqueta 500 gr,4.69,9.38/Kg,
4075,CORNETTO helado mini cono clásico caja 6 uds 216 gr,3.99,18.47/Kg,
4076,NORTINDAL pack tinta de calamar 4 unidades 4 gr,0.75,46.88/Kg,
4077,DIA bases de pizza finas bolsa 3 x 140 gr,1.85,4.40/Kg,
4078,OREO tarta de queso con galletas oreo caja 350 gr ,6.09,17.40/Kg,
4079,"










					FRIGO Comtessa tarta sabor nata caja 500 gr",4.09,8.18/Kg,
4080,"










					CARTE D' OR sorbete de limón barqueta 500 gr ",2.95,5.90/Kg,
4081,DIA MARI MARINERA merluza rebozada al huevo caja 340 gr ,2.49,7.32/Kg,
4082,"










					DR OETKER ristorante pizza spinaci caja 390 gr",3.48,8.92/Kg,
4083,McCain patatas fritas tradition bolsa 1 Kg ,2.79,2.79/Kg,
4084,DIA calamar troceado bolsa 450 gr ,3.79,8.42/Kg,
4085,DIA MARI MARINERA rodajas de merluza del Cabo bolsa 550 gr ,3.99,7.25/Kg,
4086,"










					DIA AL PUNTO arroz negro con calamar y gambas bolsa 600 gr ",2.39,3.98/Kg,
4087,CARTE D' OR helado stracciatella barqueta 500 gr,4.69,9.38/Kg,
4088,RAPUN trenza de Huesca caja 450 gr ,9.75,21.67/Kg,
4089,MAGNUM helado mini bombón doble caramelo y chocolate caja 6 uds 300 gr,4.89,16.30/Kg,
4090,DIA TEMPTATION helado mini bombón cláscio y almendrado sin azúcar caja 8 uds 288 gr,2.35,8.16/Kg,
4091,DIA AL PUNTO relleno para fajitas con pollo y verduras bolsa 300 gr ,1.49,4.97/Kg,
4092,DIA VEGECAMPO alcachofas baby bolsa 300 gr ,2.79,9.30/Kg,
4093,"










					FRIPOZO crunchy de pollo con salsa barbacoa bolsa 300 gr ",2.09,6.97/Kg,
4094,"










					FRIPOZO tenders con salsa barbacoa y miel bolsa 300 gr",2.19,8.76/Kg,
4095,DIA TEMPTATION helado mini bombón almendrado caja 8 uds 288 gr,1.99,6.91/Kg,
4096,LA CONFIANZA hielo picado bolsa 2 Kg,0.99,0.50/Kg,
4097,FRIGO helado chuches caja 15 uds 261 gr,3.69,14.14/Kg,
4098,CORNETTO helado cono sabor vainilla caja 6 uds 360 gr,3.99,11.08/Kg,
4099,DIA TEMPTATION helado bloque sabor turrón caja 525 gr,1.99,3.79/Kg,
4100,HAAGEN DAZS helado chocolate belga tarrina 81 gr,2.49,30.74/Kg,
4101,HAAGEN DAZS helado dulce de leche tarrina 81 gr,2.49,30.74/Kg,
