,producto,precio,precio/kg,none
133,HEURA bocados mediterráneos de soja bandeja 160 gr,4.05,25.31/Kg,
134,LOS SABORES DE LA ESTEBAN crema de verduras tarrina 350 gr,1.99,5.69/l,
135,LOS SABORES DE LA ESTEBAN crema de calabaza tarrina 350 gr,1.99,5.69/l,
136,PAMPLONICA carrillera en salsa caja 380 gr,4.99,13.13/Kg,
137,DIA AL PUNTO pizza familiar cuatro quesos envase 580 gr,2.79,4.81/Kg,
138,UBAGO tartar de salmón ahumado envase 100 gr,4.39,43.90/Kg,
139,"










					LITORAL fabada asturiana lata 435 gr",1.85,4.40/Kg,
140,"










					CASA TARRADELLAS pizza atún y bacon envase 405 gr ",2.63,6.49/Kg,
141,"










					CASA TARRADELLAS pizza jamón y queso envase 405 gr ",2.63,6.49/Kg,
142,"










					CASA TARRADELLAS pizza jamón serrano envase 390 gr",2.63,6.74/Kg,
143,DIA AL PUNTO pizza de jamón y queso envase 400 gr,1.99,4.98/Kg,
144,DIA AL PUNTO pizza de atún y bacon envase 400 gr,2.19,5.48/Kg,
145,"










					LITORAL cocido madrileño lata 440 gr",2.39,5.62/Kg,
146,"










					CASA TARRADELLAS pizza 4 quesos envase 390 gr",2.63,6.74/Kg,
147,"










					DIA AL PUNTO gazpacho envase 1 lt",1.29,1.29/l,
148,"










					CASA TARRADELLAS pizza jamón y queso pack 2 envases 225 gr",2.79,6.20/Kg,
149,"










					CASA TARRADELLAS pizza carbonara envase 400 gr",2.75,6.88/Kg,
150,DIA AL PUNTO pizza fresca 4 quesos envase 400 gr,1.99,4.98/Kg,
151,DIA AL PUNTO gazpacho pack 3 unidades de 330 ml,1.75,1.77/l,
152,DIA pisto con calabacín y aceite de oliva frasco 350 gr,0.99,2.83/Kg,
153,"










					AGUINAMAR salpicón de marisco bandeja 230 gr",3.75,16.30/Kg,
154,"










					LA BROCHE Fun roll de pollo y queso 2 unidades bandeja 275 gr",1.85,6.73/Kg,
155,DIA AL PUNTO pizza carbonara envase 400 gr,2.25,5.63/Kg,
156,"










					Pimiento asado en tiras bicolor bandeja 350 gr",2.35,6.71/Kg,
157,"










					LA BROCHE Fun roll de bacon y queso bandeja 275 gr",1.85,6.73/Kg,
158,CASA TARRADELLAS pizza de pollo envase 410 gr,2.75,6.71/Kg,
159,LA CARLOTEÑA redondo de pollo asado relleno de jamón y queso envase 340 gr,2.99,8.79/Kg,
