,producto,precio,cantidad,medida,cantidad_
57,Crema de Alicia de calabaza. zanahoria y guisantes Knorr 500 ml.,1.87,0.5,L,0.5
58,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
59,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
60,Galletas rellena con crema de cacao Nocilla 120 g.,1.9,0.12,kg,0.12
61,Pannini de jamon y queso Dr. Oetker 250 g.,2.69,0.25,kg,0.25
62,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
63,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
64,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
65,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
66,Berberechos al natural Cabo de Penas 63 g.,3.79,0.063,kg,0.063
67,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
68,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
69,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
70,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
71,Maiz Bonduelle pack de 6x140 g.,4.65,0.839,kg,0.839
72,Caldo natural de puchero Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,6.19,2.003,L,2.003
73,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
74,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
75,Turron blando El Almendro sin gluten 250 g.,3.95,0.25,kg,0.25
76,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
77,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
78,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa pack de 3 unidades de 69 g.,4.29,0.207,kg,0.207
79,Gyoza de carne al vapor Ta-Tung 170 g.,2.75,0.17,kg,0.17
80,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
81,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
82,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
83,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
84,Galletas rellenas con crema de cacao Nocilla sin aceite de palma 160 g.,2.29,0.16,kg,0.16
85,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
86,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
87,Turron duro El Almendro sin gluten 250 g.,3.95,0.25,kg,0.25
88,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
89,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
90,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
91,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
92,Cereales integrales con chocolate y caramelo Lion Nestle 675 g.,3.95,0.675,kg,0.675
93,Salsa barbacoa sin azucar anadido Cero Prima sin gluten 325 g.,1.63,0.325,kg,0.325
94,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
95,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
