,producto,precio,cantidad,medida
165,Salsa mexicana Hacendado,1.2,0.3,kg
166,Salsa cesar Hacendado,1.2,0.31,L
167,Alino de aceite. ajo y perejil Hacendado,1.2,0.15,L
168,Salsa de queso Hacendado,1.25,0.3,kg
169,Salsa miel y mostaza Hacendado,1.2,0.3,L
170,Salsa yogur Hacendado,1.2,0.31,L
171,Chili con carne La Fondita,2.0,0.418,kg
172,Salsa brava picante Hacendado,0.85,0.32,kg
173,Extracto original de buey Bovril,2.55,0.125,kg
174,Salsa cocktail Hacendado,1.2,0.5,L
175,Salsa cocktail Hacendado,1.25,0.46,L
176,Salsa gajos rustica Hacendado,1.25,0.25,L
177,Salsa especiada Lea & Perrins,2.15,0.15,L
178,Salsa picante Mc. Ilhenny Tabasco,2.59,0.057,L
179,Salsa de trufas,2.95,0.08,kg
180,Salsa ranchera Hacendado,1.25,0.25,L
181,Carne de pimiento choricero El Sol,1.3,0.14,kg
182,Salsa curry Hacendado,1.45,0.25,L
183,Pasta de sesamo Tahini Hacendado,2.8,0.2,kg
184,Mojo rojo suave canario Hacendado,1.85,0.2,kg
185,Agua mineral grande Bezoya,3.66,9.0,L
186,Agua mineral grande Bezoya,0.61,5.0,L
187,Agua mineral grande Nestle Aquarel,1.19,5.0,L
188,Agua mineral grande Nestle Aquarel,2.76,9.0,L
189,Agua mineral grande Nestle Aquarel,0.49,5.0,L
190,Agua mineral grande Font Vella,3.42,9.0,L
191,Agua mineral grande Font Vella,0.6,5.0,L
192,Agua mineral pequena Fondetal tapon infantil,1.8,1.98,L
193,Agua mineral pequena Fondetal tapon infantil,0.3,0.33,L
194,Agua mineral grande Solan de Cabras,4.2,9.0,L
195,Agua mineral grande Solan de Cabras,0.72,5.0,L
196,Agua mineral grande Lanjaron,3.0,9.0,L
197,Agua mineral grande Lanjaron,0.53,5.0,L
198,Agua mineral grande Aguadoy,0.73,8.0,L
199,Agua mineral grande Aguadoy,0.56,6.0,L
200,Agua mineral grande Aguadoy,1.08,9.0,L
201,Agua mineral grande Aguadoy,0.18,5.0,L
202,Agua mineral mediana Aguadoy,1.92,6.0,L
203,Agua mineral mediana Aguadoy,0.32,1.0,L
204,Agua mineral pequena Aguadoy,0.96,3.0,L
205,Agua mineral pequena Aguadoy,0.16,0.5,L
206,Agua mineral pequena Aguadoy tapon infantil,1.08,1.98,L
207,Agua mineral pequena Aguadoy tapon infantil,0.18,0.33,L
208,Agua mineral grande Fondetal,2.4,12.0,L
209,Agua mineral grande Fondetal,0.4,2.0,L
210,Agua mineral mediana Fondetal,2.16,6.0,L
211,Agua mineral mediana Fondetal,0.36,1.0,L
212,Agua mineral pequena Fondetal,1.08,3.0,L
213,Agua mineral pequena Fondetal,0.18,0.5,L
214,Agua mineral grande Liviana,3.06,12.0,L
215,Agua mineral grande Liviana,0.55,2.0,L
216,Agua-Fruta de frutos rojos Hacendado,0.7,1.0,L
217,Agua-Fruta de limon Hacendado,0.7,1.0,L
218,Agua de coco Chaokoh 100% natural,2.4,1.0,L
219,Agua de coco Chaokoh 100% natural,1.3,0.33,L
220,Agua mineral con gas grande Vichy Catalan,1.18,1.0,L
221,Agua mineral con gas pequena Vichy Catalan,4.99,1.5,L
222,Agua de soda con sifon La Casa,1.29,5.0,L
223,Agua mineral con gas grande Aguadoy,1.86,9.0,L
224,Agua mineral con gas grande Aguadoy,0.31,5.0,L
225,Agua mineral con gas pequena Aguadoy,1.14,3.0,L
226,Agua mineral con gas pequena Aguadoy,0.19,0.5,L
227,Agua mineral con gas grande Parot,4.2,6.0,L
228,Agua mineral con gas grande Parot,0.7,1.0,L
229,Gaseosa Hacendado grande,0.26,5.0,L
230,Gaseosa Hacendado pequena,1.2,3.0,L
231,Gaseosa Hacendado pequena,0.2,0.5,L
232,Gaseosa La Casera grande,1.96,3.0,L
233,Gaseosa La Casera grande,1.0,5.0,L
234,Bebida isotonica limon Aquarius,1.72,5.0,L
235,Bebida isotonica limon Aquarius,5.92,2.64,L
236,Bebida isotonica limon Aquarius,0.78,0.33,L
237,Bebida isotonica sabor citrico Iso drink,0.82,5.0,L
238,Bebida isotonica sabor citrico Iso drink,1.92,1.98,L
239,Bebida isotonica sabor citrico Iso drink,0.32,0.33,L
240,Bebida isotonica naranja Aquarius,1.72,5.0,L
241,Bebida isotonica naranja Aquarius,5.92,2.64,L
242,Bebida isotonica naranja Aquarius,0.78,0.33,L
243,Bebida isotonica limon Aquarius zero azucar,1.72,5.0,L
244,Bebida isotonica de naranja Iso drink,0.82,5.0,L
245,Bebida isotonica de naranja Iso drink,1.92,1.98,L
246,Bebida isotonica de naranja Iso drink,0.32,0.33,L
247,Bebida isotonica Iso On blue Hacendado,1.17,5.0,L
248,Bebida isotonica Iso On blue Hacendado,0.45,0.5,L
249,Bebida isotonica azul Powerade,1.2,0.5,L
250,Bebida isotonica soluble Enervit Sport sabor limon,3.0,1.5,kg
251,Bebida isotonica Iso On red Hacendado,0.45,0.5,L
252,Bebida energetica light Hacendado,0.39,0.25,L
253,Bebida energetica Energy Ultra zero Monster,4.4,2.0,L
254,Bebida energetica Energy Ultra zero Monster,1.49,0.5,L
255,Malta Maltin Polar,0.79,0.207,L
256,Bebida energetica energy Monster,4.4,2.0,L
257,Bebida energetica Energy Monster,1.49,0.5,L
258,Bebida energetica Energy Drink,1.25,5.0,L
259,Bebida energetica Energy Drink,0.57,0.5,L
260,Bebida energetica Energy Drink,2.34,1.5,L
261,Bebida energetica Energy Drink,0.39,0.25,L
262,Bebida energetica Red Bull,4.2,1.0,L
263,Bebida energetica Red Bull,1.15,0.25,L
264,Bebida energetica original Burn,3.0,2.0,L
265,Bebida energetica original Burn,1.02,0.5,L
266,Bebida energetica sabor guarana Energy Drink,0.75,0.5,L
267,Bebida energetica sabor guarana Energy Drink,0.5,0.25,L
268,Bebida energetica sabor cereza Energy Drink,0.75,0.5,L
269,Bebida energetica sabor cereza Energy Drink,0.5,0.25,L
270,Gel energetico con cafeina Enervit Sport sabor citricos,2.85,0.096,kg
271,Gel energetico Enervit Sport sabor naranja,2.85,0.096,kg
272,Bebida energetica Mango Loco Monster,4.4,2.0,L
273,Bebida energetica Mango Loco Monster,1.49,0.5,L
274,Refresco Coca-Cola,3.16,4.0,L
275,Refresco Coca-Cola,1.8,2.0,L
276,Refresco Coca-Cola,1.38,25.0,L
277,Refresco Coca-Cola,3.96,2.0,L
278,Refresco Coca-Cola,1.2,0.5,L
279,Refresco Coca-Cola,7.92,3.96,L
280,Refresco Coca-Cola,0.75,0.33,L
281,Refresco cola Hacendado,0.51,2.0,L
282,Refresco cola Hacendado,2.4,3.0,L
283,Refresco cola Hacendado,0.4,0.5,L
284,Refresco cola Hacendado,1.56,1.98,L
285,Refresco cola Hacendado,0.26,0.33,L
286,Refresco cola Pepsi,1.2,75.0,L
287,Refresco cola Pepsi,6.6,3.96,L
288,Refresco cola Pepsi,0.58,0.33,L
289,Refresco Coca-Cola Zero azucar,7.92,3.96,L
290,Refresco Coca-Cola Zero azucar,0.75,0.33,L
291,Refresco Coca-Cola Zero azucar,3.16,4.0,L
292,Refresco Coca-Cola Zero azucar,1.8,2.0,L
