,producto,precio,precio_rel,link,oferta
93,AGUINAMAR mejillones en su jugo envase 500 gr,4.09,8.18/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
94,AGUINAMAR mejillones en salsa de tomate envase 500 gr,4.09,8.18/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
95,CAMPOFRÍO Vegalia pizza vegetariana envase 360 gr,2.59,7.19/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
96,FLORETTE ensalada cesar light con pollo y queso tarrina 205 gr,2.85,13.90/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
97,DIA AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr,1.85,3.08/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
98,DIA AL PUNTO tortilla de patatas fresca con cebolla envase 600 gr,1.85,3.08/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
99,DIA AL PUNTO pechuga de pollo asada con arroz bandeja 300 gr,2.85,9.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
100,DIA AL PUNTO pollo asado entero bandeja 900 gr,5.09,5.66/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
101,DIA AL PUNTO muslo de pollo asado al limón con patatas bandeja 300 gr,3.05,10.17/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
102,DIA AL PUNTO pizza barbacoa envase 420 gr,2.35,5.53/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
103,DIA AL PUNTO tallarines a la carbonara bandeja 250 gr,2.05,8.20/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
104,DIA AL PUNTO macarrones con chorizo bandeja 250 gr,2.05,8.20/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
105,DIA AL PUNTO paella mixta bandeja 320 gr,3.09,9.66/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
106,DIA AL PUNTO arroz tres delicias bandeja 320 gr,2.39,7.47/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
107,DIA AL PUNTO ensaladilla rusa bandeja 300 gr,2.55,8.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
108,DIA AL PUNTO gyozas de pollo y verduras al teppanyaki bandeja 8 uds 150 gr,2.39,17.07/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
109,DIA AL PUNTO tortilla de patatas fresca con chorizo envase 600 gr,2.85,4.75/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
110,DIA AL PUNTO lasaña boloñesa gratinada bandeja 350 gr,2.45,7.00/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
111,DIA AL PUNTO hamburguesa con bacon envase 220 gr,2.59,11.77/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
112,DIA AL PUNTO hamburguesa con queso envase 220 gr,2.59,11.77/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
113,FLORETTE ensalada cesar American style tarrina 200 gr,2.99,14.95/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
114,DIA MARI MARINERA pata de pulpo cocido envase 250 gr,8.95,35.80/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0
115,DIA AL PUNTO pastel de atún bandeja 260 gr,2.85,10.96/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
116,DIA medio pollo asado sazonado bandeja 450 gr,3.49,7.76/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
117,DIA VEGECAMPO ensalada César tarrina 210 gr,2.05,9.76/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
118,DIA VEGECAMPO ensalada Brooklyn con bacon tarrina 192 gr,2.25,11.72/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
119,DIA AL PUNTO croquetas de jamón bandeja 162 gr,2.05,12.65/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
120,GOLDEN ensalada veggie tarrina 200 gr,1.79,3.89/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
121,GOLDEN ensalada thai tarrina 200 gr,1.79,3.89/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
122,PAMPLONICA callos gourmet con chorizo y pimiento caja 380 gr,3.99,10.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
123,PAMPLONICA magro con tomate caja 380 gr,3.99,10.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
124,AGUINAMAR pintxo donostiarra envase 130 gr,2.19,16.85/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
125,PAMPLONICA carrillera en salsa caja 380 gr,4.99,13.13/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
126,DIA AL PUNTO pizza familiar cuatro quesos envase 580 gr,2.79,4.81/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
127,UBAGO tartar de salmón ahumado envase 100 gr,4.39,43.90/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0
128,LITORAL fabada asturiana lata 435 gr,1.85,4.40/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
129,CASA TARRADELLAS pizza jamón y queso envase 405 gr ,2.63,6.49/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
130,CASA TARRADELLAS pizza jamón serrano envase 390 gr,2.63,6.74/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
131,CASA TARRADELLAS pizza atún y bacon envase 405 gr ,2.63,6.49/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
