,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
1347,DIA AL PUNTO caLLos con garbanzos Lata 380 gr,1.29,0.381,kg,0.381,garbanzo,dia
1348,LUENGO aLubias bLancas paquete 1 kg ,2.99,1.0,kg,1.0,alubias blancas,dia
1349,SOLIS tomate frito estiLo casero frasco 350 gr,1.69,0.35,kg,0.35,tomate frito,dia
1351,PRIMA mayonesa boteLLa 500 mL,1.79,0.4,L,0.4,mayonesa,dia
1355,DIA mayonesa con mostaza bote 300 mL,1.35,0.3,L,0.3,mayonesa,dia
1359,DIA cereaLes cuadrados con mieL paquete 500 gr,1.69,0.5,kg,0.5,cereales,dia
1361,DIA saLsa bechameL envase 500 mL,1.39,0.5,L,0.5,salsa,dia
1366,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1369,DIA SELECCIÃÂÃÂN MUNDIAL vinagre baLsamico de modena boteLLa 50 cL,2.09,0.5,L,0.5,vinagre balsamico,dia
1371,DIA patatas fritas campesina boLsa 150 gr,0.85,0.15,kg,0.15,patatas fritas apetiritivo,dia
1372,DIA patatas fritas onduLadas jamon boLsa 150 gr ,0.89,0.15,kg,0.15,patatas fritas apetiritivo,dia
1375,ALIÃÂÃÂA TU DIA crema vinagre de modena boteLLa 25 cL,2.05,0.25,L,0.25,reduccion de vinagre,dia
1377,KINDER Bueno chocoLate pack 3 unidades envase 129 gr,2.39,0.129,kg,0.129,chocolatinas,dia
1378,"DANI ajo moLida frasco 55 gr
",1.35,0.055,kg,0.055,ajo,dia
1379,DANI pimienta negra moLida frasco 45 gr,1.49,0.045,kg,0.045,pimienta negra,dia
1380,DANI nuez moscada moLida frasco 45 g,1.15,0.045,kg,0.045,nuez moscada,dia
1381,DIA eduLcorante 850 comprimidos bote 50 gr ,1.15,0.05,kg,0.05,edulcorante,dia
1382,DIA SUEÃÂÃÂOS geLatina de fresa pack 6 unidades 100 gr,0.85,0.599,kg,0.599,gel de ducha,dia
1383,VALOR chocoLate con Leche y aLmendras 0% azucares anadidos tabLeta 150 gr,3.19,0.15,kg,0.15,chocolate con leche,dia
1388,KINDER Joy huevo sorpresa chocoLate 3X60 GR,3.59,0.18,kg,0.18,chocolatinas,dia
1389,LA VIEJA FABRICA mermeLada de meLocoton frasco 350 gr,2.25,0.35,kg,0.35,mermelada,dia
1390,DIA cereaLes reLLenos de Leche paquete 500 gr,2.05,0.5,kg,0.5,cereales,dia
1394,PASCUAL Leche semidesnatada caLcio envase 1 Lt,1.44,1.0,L,1.0,leche semidesnatada,dia
1395,DIA ALMAZARA DEL OLIVAR aceite de oLiva virgen extra garrafa 5 Lt,18.99,4.997,L,4.997,aceite de oliva virgen extra,dia
1396,DIA ALMAZARA DEL OLIVAR aceite de oLiva virgen extra boteLLa 1 Lt,3.95,1.0,L,1.0,aceite de oliva virgen extra,dia
1401,ORLANDO tomate frito envase 350 gr,0.69,0.35,kg,0.35,tomate frito,dia
1405,DIA FIDIAS yogur aL estiLo griego con fresa pack 4 unidades 125 gr,1.29,0.5,kg,0.5,yogur griego,dia
1408,ORBIT chicLe grageas sabor menta fuerte paquete 5 uds,2.29,0.08,kg,0.08,chicles,dia
1409,LA PIARA pate tapa negra -50% grasa pack 2 Latas 146 gr,2.87,0.146,kg,0.146,pate,dia
1410,ISABEL atun en aceite girasoL pack 3 Latas de 52 gr,2.29,0.156,kg,0.156,lata atun al aceite,dia
1411,DIA VEGECAMPO aceitunas verdes sin hueso pack 3 x 75 gr ,1.35,0.225,kg,0.225,aceitunas,dia
1414,Barra de pan picado andaLuz 130 gr,0.32,0.13,kg,0.13,pan,dia
1419,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1420,EAGLE cacahuete frito con mieL y saL boLsa 90 gr,1.59,0.09,kg,0.09,sal,dia
1421,HORNIMANS infusion frutaL frambuesa rooibos estuche 20 boLsitas,2.65,20.385,ud,20.385,infusiones otras,dia
1422,MAGGI jugoso aL horno hierbas provenzaLes sobre 34 gr,1.09,1.0,ud,1.0,hierbas provenzales,dia
1425,OLD EL PASO saLsa mejicana frasco 200 gr ,1.99,0.19,kg,0.19,salsa,dia
1426,OLD EL PASO saLsa de queso frasco 200 gr ,1.99,0.2,kg,0.2,salsa de queso,dia
1427,SAFRINA azafran en hebras 0.375 gr ,1.55,1.55,kg,1.55,azafran,dia
1428,KELLOGGS cereaLes choco krave caja 375 gr,3.75,0.375,kg,0.375,cereales,dia
1430,DIA SNACK MANIAC cacahuete con cascara sin saL boLsa 400 gr,1.39,0.401,kg,0.401,sal,dia
1431,PASCUAL Leche semidesnatada sin Lactosa envase 1 Lt,1.15,1.0,L,1.0,leche semidesnatada,dia
1433,LUENGO aLubia cocida frasco 400 gr ,0.99,0.401,kg,0.401,alubias,dia
1435,BONKA cafe moLido mezcLa paquete 250 gr,2.49,0.25,kg,0.25,cafe,dia
1436,BONKA cafe moLido descafeinado paquete 250 gr,2.89,0.25,kg,0.25,cafe descafeinado,dia
1437,BONKA cafe moLido naturaL paquete 250 gr,2.49,0.25,kg,0.25,cafe,dia
1438,DIA MARI MARINERA atun en tomate pack 3 Latas de 52 gr,1.59,0.156,kg,0.156,tomate,dia
1439,TOSCAF cafe naturaL en grano paquete 500 gr,5.09,0.5,kg,0.5,cafe,dia
1440,TABASCO saLsa picante BOTELLA 60 ML,2.69,0.06,L,0.06,tabasco,dia
1442,TOSFRIT apetinas ketchup boLsa 90GRS,1.07,0.09,kg,0.09,ketchup,dia
1443,DIA CAFETERÃÂÃÂA cafe moLido mezcLa naturaL paquete 2 x 250 gr ,2.89,0.5,kg,0.5,cafe,dia
1444,DIA CAFETERÃÂÃÂA cafe en grano naturaL paquete 500 gr,3.99,0.5,kg,0.5,cafe,dia
1445,LA ASTURIANA aLubias pintas cocidas frasco 400 gr ,1.15,0.399,kg,0.399,alubias pinta,dia
1447,EL MOLINO DE DIA Barra de pan de picos 260 gr,0.55,0.259,kg,0.259,pan,dia
1448,ALBO atun cLaro en aceite de oLiva pack 3 Latas de 48 gr,4.39,0.192,kg,0.192,lata atun al aceite,dia
1452,DIA patatas fritas onduLadas boLsa 150 gr,0.57,0.15,kg,0.15,patatas fritas apetiritivo,dia
1453,GALLINA BLANCA saLsa chiLindron sobre 52 gr,1.39,0.052,kg,0.052,salsa,dia
1456,DANONE DANACOL yogur Liquido naturaL pack 12 unidades 100 g,6.19,1.2,kg,1.2,yogur natural,dia
1460,DIA CAPRICHOSO fLan de queso pack 4 unidades 100 gr,1.65,0.4,kg,0.4,queso,dia
1461,MENTOLIN carameLo sabor menta fresca boLsa 250 gr,1.89,0.25,kg,0.25,caramelos,dia
1462,NESTLE cereaLes fitness caja 450 gr,2.99,0.45,kg,0.45,cereales,dia
1463,BRIOCHE PASQUIER pan de Leche boLsa 280 gr,2.15,0.28,kg,0.28,pan,dia
1464,ALBA bocaditos de pan sabor tomate y oregano boLsa 110 gr,1.15,0.11,kg,0.11,oregano,dia
1466,SERPIS aceitunas reLLenas de anchoas Lata 130 gr,1.55,0.13,kg,0.13,aceitunas,dia
1468,LA PIARA pate de atun Lata 2 x 75 gr,2.95,0.15,kg,0.15,pate,dia
1470,PRIMA ketchup cLasico bote 600 gr,2.05,0.599,kg,0.599,ketchup,dia
1472,DIA LACTEA Leche semidesnatada sin Lactosa envase 1 Lt,0.77,1.0,L,1.0,leche semidesnatada,dia
1474,KELLOGGS cereaLes choco krispies caja 450 gr,2.89,0.45,kg,0.45,cereales,dia
1475,KELLOGGS cereaLes smacks caja 450 gr,3.49,0.45,kg,0.45,cereales,dia
1476,KELLOGGS cereaLes frosties caja 450 gr,3.49,0.45,kg,0.45,cereales,dia
1477,NESTLE cereaLes chocapic paquete 500 gr,2.99,0.5,kg,0.5,cereales,dia
1478,BORGES vinagre baLsamico de modena boteLLa 50 cL,3.45,0.5,L,0.5,vinagre balsamico,dia
1480,PRINGLES patatas fritas paprika tubo 165 gr,2.1,0.165,kg,0.165,patatas fritas apetiritivo,dia
1483,DANONE DANET natiLLas vainiLLa pack 8 unidades 120 gr,3.35,0.96,kg,0.96,vainilla,dia
1484,LIGERESA saLsa fina originaL frasco 225 mL ,1.29,0.225,L,0.225,salsa,dia
1485,GALLO saLsa boLonesa tarro 350 gr,1.95,0.35,kg,0.35,salsa bolonesa,dia
1486,DANONE ACTIVIA bifidus de mango pack 4 unidades 120 gr,2.49,0.48,kg,0.48,mango,dia
1487,DANONE ACTIVIA bifidus de meLocoton 0% M.G pack 4 unidades 120 gr,2.49,0.48,kg,0.48,melocoton,dia
1489,KINDER huevos schokobons boLsa 125 gr,2.69,0.125,kg,0.125,chocolatinas,dia
1490,GULLON gaLLetas Maria Ligera sin saL y sin azucar caja 600 grs,2.85,0.6,kg,0.6,sal,dia
1491,DIA NATURMUNDO aveLLanas tostadas boLsa 200 gr,2.95,0.2,kg,0.2,avellanas,dia
1496,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1497,FRIT RAVICH datiLes bandeja 500 gr,2.95,0.5,kg,0.5,datiles,dia
1499,MAGGI pasta orientaL yakisoba cLassic sobre 120 gr ,1.69,0.12,kg,0.12,pasta oriental,dia
1504,DIA yogur naturaL desnatado pack 6 unidades 125 g,0.79,0.752,kg,0.752,yogur natural,dia
1505,DIA yogur naturaL desnatado eduLcorado pack 6 unidades 125 g,0.79,0.752,kg,0.752,yogur natural,dia
1506,DIA VEGECAMPO tomate frito pack 3 unidades 390 gr,0.95,1.173,kg,1.173,tomate frito,dia
1507,DIA pate de higado de cerdo tarro 200 gr ,0.89,0.2,kg,0.2,pate,dia
1511,DIA MARI MARINERA sardiniLLas en aceite de girasoL pack de 2 Latas de 62 gr,1.15,0.13,kg,0.13,lata sardinillas en aceite,dia
1512,DIA VEGECAMPO aceitunas verdes con hueso sabor anchoa frasco 500 gr ,2.45,0.5,kg,0.5,aceitunas,dia
1513,DIA saLsa cesar boteLLa 300 mL,1.25,0.3,L,0.3,salsa cesar,dia
1514,DIA saLsa carbonara frasco 260 gr,0.99,0.26,kg,0.26,salsa carbonara,dia
1515,PULEVA Max crecimiento con cereaLes envase 1 Lt,1.46,1.0,L,1.0,cereales,dia
1517,DIA SNACK MANIAC paLomitas sabor mantequiLLa caja 270 gr,1.35,0.27,kg,0.27,palomitas,dia
1518,DIA cocktaiL frutos secos boLsa 500 gr,2.05,0.5,kg,0.5,frutos secos,dia
1525,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1526,DIA MIELOVE mieL de fLores antigoteo bote 500 gr ,3.55,0.5,kg,0.5,miel,dia
1527,GALLO heLices con tomate y espinacas paquete 450 gr,1.63,0.45,kg,0.45,tomate,dia
1534,DIA mermeLada extra meLocoton frasco 390 gr,1.05,0.39,kg,0.39,mermelada,dia
1535,DIA mermeLada extra fresa frasco 390 gr,1.05,0.39,kg,0.39,mermelada,dia
1536,DIA FIDIAS yogur griego naturaL pack 6 unidades 125 gr,1.05,0.75,kg,0.75,yogur griego,dia
1537,DIA FIDIAS yogur griego naturaL azucarado pack 6 unidades 125 gr,1.09,0.752,kg,0.752,yogur griego,dia
1538,DIA FIDIAS yogur aL estiLo griego con fresas pack 6 unidades 125 gr,1.39,0.751,kg,0.751,yogur griego,dia
1540,DIA cereaLes muesLi con chocoLate paquete 500 gr,1.99,0.5,kg,0.5,cereales,dia
1541,DIA paneciLLos tostados con tomate y oregano paquete 160 gr,0.89,0.16,kg,0.16,tomate,dia
1542,DIA paneciLLo ajo y perejiL boLsa 160 gr,0.89,0.16,kg,0.16,perejil,dia
1545,COSTA saL yodo+fLuor paquete 1 kg,0.69,1.0,kg,1.0,sal,dia
1546,COSTA saL pLus+ paquete 1 kg,0.99,1.0,kg,1.0,sal,dia
1549,DIA MARI MARINERA atun en aceite de girasoL Lata 650 gr,5.3,0.65,kg,0.65,lata atun al aceite,dia
1553,DIA MARI MARINERA zamburinas en saLsa vieira Lata 63 gr,1.45,0.065,kg,0.065,salsa,dia
1554,HALLS carameLo sabor eucaLipto paquete 2 uds 64 gr,1.79,0.064,kg,0.064,caramelos,dia
1555,HALLS carameLo sabor mieL-Limon paquete 2 uds 67 gr,1.79,0.067,kg,0.067,caramelos,dia
1556,HALLS carameLo sabor citricos vitamina C paquete 2 uds 64 gr,1.79,0.064,kg,0.064,caramelos,dia
1557,OLD EL PASO sazonador para fajitas sobre 30 gr ,1.19,0.03,kg,0.03,sazonador,dia
1558,DIA SUEÃÂÃÂOS postre geLificado de fresa. Limon y muLtifrutas pack 6 unidades 100 gr,0.85,0.599,kg,0.599,gel de ducha,dia
1559,GALLO fideo NÃÂÃÂº 4 paquete 450 gr,1.19,0.451,kg,0.451,fideos,dia
1560,GALLO fideo NÃÂÃÂº 1 paquete 450 gr,1.19,0.451,kg,0.451,fideos,dia
1561,PRIMA mostaza americana bote 300 gr,1.39,0.33,kg,0.33,mostaza,dia
1563,MAILLE mostaza dijon originaL tarro 215 gr,2.65,0.215,kg,0.215,mostaza,dia
1564,VALOR chocoLate con Leche y aLmendra tabLeta 250 gr,3.0,0.25,kg,0.25,chocolate con leche,dia
1570,VIVISIMA+ Levadura cerveza envase 50 capsuLas,3.95,49.375,ud,49.375,cerveza,dia
1572,ORLANDO tomate frito 0.0 sin saL ni azucares envase 350 gr,1.19,0.35,kg,0.35,sal,dia
1578,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1580,ALBA bocaditos de pan sabor jamon y tomate boLsa 110 gr,0.99,0.11,kg,0.11,pan,dia
1583,CHEETOS peLotazos boLsa 36 gr,0.4,0.036,kg,0.036,cheetos,dia
1585,DIA VITAL mermeLada extra fresa diet frasco 330 gr,1.39,0.33,kg,0.33,mermelada,dia
1586,DIA mermeLada extra de cirueLa frasco 390 gr,1.09,0.391,kg,0.391,mermelada,dia
1587,DIA saLsa brava boteLLa 340 mL,0.95,0.33,kg,0.33,salsa brava,dia
1589,DIA sazonador para fajitas sobre 30 gr,0.85,0.03,kg,0.03,sazonador,dia
1591,DANONE yogur naturaL pack 8 unidades 120 gr,2.19,1.0,kg,1.0,yogur natural,dia
1594,DIA saLsa de yogur bote 285 gr,1.25,0.3,L,0.3,salsa,dia
1595,DIA VEGECAMPO ceboLLitas y pepiniLLos frasco 380 gr,1.59,0.38,kg,0.38,cebollitas en vinagre,dia
1596,DIA VEGECAMPO aceitunas negras sin hueso Lata 150 gr,0.8,0.15,kg,0.15,aceitunas negras,dia
1597,DIA VEGECAMPO aceitunas verdes sin hueso frasco 400 gr,1.65,0.4,kg,0.4,aceitunas,dia
1599,BRILLANTE arroz redondo sabroz paquete 1 kg,1.76,1.0,kg,1.0,arroz,dia
1602,ALBO atun cLaro en aceite de oLiva virgen extra pack 3 Latas de 48 gr,4.39,0.144,kg,0.144,lata atun al aceite,dia
1605,SAL DIA marina de mesa fina frasco 250 gr ,0.39,0.25,kg,0.25,sal fina,dia
1606,NESCAFE cafe soLubLe 3 en 1 estuche 10 sobres 180 gr,2.29,0.18,kg,0.18,cafe,dia
1607,EL MOLINO DE DIA rosquiLLas de pan boLsa 250 gr,0.69,0.25,kg,0.25,pan,dia
1608,DIA pan de pipas boLsas 2 x 100 gr,1.39,0.2,kg,0.2,pipas,dia
1609,DIA cafe expresso descafeinado 10 capsuLas caja 53 gr ,1.89,9.947,ud,9.947,cafe en capsulas,dia
1610,DIA cafe expresso extra intenso 10 capsuLas caja 53 gr ,1.89,9.947,ud,9.947,cafe en capsulas,dia
1611,DIA cafe expresso intenso 10 capsuLas caja 53 gr ,1.89,9.947,ud,9.947,cafe en capsulas,dia
1612,DIA SNACK MANIAC pipas gigantes aguasaL boLsa 200 gr,1.1,0.2,kg,0.2,sal,dia
1613,DIA VITAL mermeLada extra meLocoton diet frasco 330 gr,1.39,0.33,kg,0.33,mermelada,dia
1618,LIGERESA saLsa top down bote 430 mL,1.7,0.43,L,0.43,salsa,dia
1622,NESTLE cereaLes Lion carameLo y chocoLate caja 400 gr ,2.89,0.4,kg,0.4,caramelos,dia
1623,KINDER Bueno white chocoLate bLanco pack 3 unidades 117 gr,2.39,0.117,kg,0.117,chocolatinas,dia
1625,WASA VITALITE pan avena paquete 280 grs,2.45,0.28,kg,0.28,pan,dia
1629,DIA VEGECAMPO garbanzos con verduras frasco 400 gr,0.95,0.399,kg,0.399,garbanzo,dia
1637,EL MOLINO DE DIA pan de Leche boLsa 420 gr,1.55,0.42,kg,0.42,pan,dia
1642,FACUN pipas tostadas sin saL boLsa 100 gr,1.39,0.1,kg,0.1,sal,dia
1644,DIA torreznos boLsa 120 gr,1.45,0.12,kg,0.12,torreznos,dia
1646,DIA noodLes sabor poLLo boLsa boLsa 85 gr,0.59,0.085,kg,0.085,pasta oriental,dia
1647,POTE azafran en hebras caja 4 sobres,2.89,2.89,kg,2.89,azafran,dia
1648,POTE azafran moLido caja 4 sobres,2.79,2.79,kg,2.79,azafran,dia
1652,ORLANDO tomate frito envase 780 gr,1.29,0.782,kg,0.782,tomate frito,dia
1655,VALOR chocoLate puro aLmendras s/azucar tabLeta 150 gr,2.89,0.15,kg,0.15,almendras,dia
1656,VALOR chocoLate negro 70% cacao s/azucar tabLeta 125 gr,1.99,0.125,kg,0.125,azucar,dia
1657,DIA mermeLada extra de aLbaricoque frasco 390 gr,1.09,0.391,kg,0.391,mermelada,dia
1658,FRIT RAVICH  mix frutos secos boLsa 380 gr,2.59,0.38,kg,0.38,frutos secos,dia
1661,DIA saLsa Ligera frasco 450 mL,0.95,0.45,L,0.45,salsa,dia
1662,DIA patatas fritas queso mediterraneo boLsa 150 gr,0.89,0.15,kg,0.15,patatas fritas apetiritivo,dia
1664,KELLOGGS cereaLes aLL-bran chocoLate paquete 375 gr,2.99,0.375,kg,0.375,cereales,dia
1665,PICTOLIN carameLo eucaLipto sin azucar boLsa 200 gr,2.05,0.2,kg,0.2,caramelos,dia
1666,PICTOLIN carameLo eucaLipto boLsa 300 gr,2.05,0.3,kg,0.3,caramelos,dia
1669,DIA carameLo sin azucar sabor regaLiz boLsa 200 gr,1.99,0.2,kg,0.2,caramelos,dia
1671,ROYAL preparado para tarta de chocoLate con miLka estuche 350 gr,3.69,0.35,kg,0.35,tarta,dia
1672,CHEETOS gustosines boLsa 35 gr,0.5,0.035,kg,0.035,cheetos,dia
1679,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1681,GALLINA BLANCA caLdo de poLLo bajo en saL 100% naturaL envase 1 Lt,1.8,1.0,L,1.0,sal,dia
1685,DANONE ACTIMEL yogur Liquido naturaL 0% M.G pack 12 unidades 100 gr ,5.19,1.199,kg,1.199,yogur natural,dia
1688,BICENTURY barritas sustituye de chocoLate con Leche caja 4 uds,3.99,0.128,kg,0.128,chocolatinas,dia
1689,DIA AL PUNTO Lentejas con verduras Lata 415 gr,0.79,0.416,kg,0.416,lentejas,dia
1690,Barra de pan chapata 400 gr ,0.6,0.3,kg,0.3,pan,dia
1691,DIA pan raLLado con ajo y perejiL boLsa 500 gr,0.79,0.5,kg,0.5,pan,dia
1695,DIA carameLos masticabLes 5 sabores boLsa 475 gr,1.99,0.475,kg,0.475,caramelos,dia
1696,DANONE VITALINEA yogur cremoso naturaL eduLcorado pack 4 unidades 120 gr,2.29,0.48,kg,0.48,yogur natural,dia
1697,DIA DELICIOUS barquiLLos chocoLate negro caja 125 gr,1.55,0.125,kg,0.125,chocolate negro,dia
1700,GALLINA BLANCA fideos orientaLes yatekomo poLLo vaso 60 gr,1.15,0.066,kg,0.066,fideos,dia
1701,HERO mermeLada temporada fresa Hero fraco 350 g,1.89,0.35,kg,0.35,mermelada,dia
1702,HERO mermeLada meLocoton de temporada frasco 350 g,1.89,0.35,kg,0.35,mermelada,dia
1703,GALLINA BLANCA fideos orientaLes yatekomo vaso 60 gr,1.15,0.061,kg,0.061,fideos,dia
1704,DIA tortitas mini de maiz y arroz sabor jamon paquete 75 gr,1.29,0.075,kg,0.075,arroz,dia
1705,DIA tortitas de arroz banadas yogur paquete 130 gr,1.59,0.13,kg,0.13,arroz,dia
1706,DIA tortitas mini de maiz y arroz sabor queso paquete 75 gr,1.29,0.075,kg,0.075,arroz,dia
1709,DIA MARCELO CARAMELO goLosinas fresa briLLo boLsa 250 gr,1.29,0.25,kg,0.25,caramelos,dia
1710,DIA goLosinas mora boLsa 250 gr,1.29,0.25,kg,0.25,golosinas,dia
1711,DIA regaLiz rueda rojo boLsa 250 gr,1.55,0.25,kg,0.25,golosinas,dia
1712,DIA regaLiz reLLeno picapica boLsa 225 gr,1.15,0.225,kg,0.225,golosinas,dia
1713,DIA goLosinas Lagrimas boLsa 250 gr,1.05,0.25,kg,0.25,golosinas,dia
1714,DIA goLosinas surtidas boLsa 250 gr,1.15,0.25,kg,0.25,golosinas,dia
1715,DIA torcidas regaLiz rojo boLsa 225 gr ,1.15,0.225,kg,0.225,golosinas,dia
1716,DIA torcidas regaLiz negro boLsa 225 gr ,1.15,0.225,kg,0.225,golosinas,dia
1717,DIA ICEBERG carameLos eucaLipto y menta boLsa 300 gr,1.79,0.3,kg,0.3,caramelos,dia
1721,"NATREEN STEVIA eduLcorante Liquido frasco 125 mL
",4.39,0.125,L,0.125,edulcorante,dia
1723,DIA SNACK MANIAC pipas gigantes con saL boLsa 200 gr,1.1,0.2,kg,0.2,sal,dia
1724,GALLO margaritas con tomate y espinacas paquete 450 gr,1.63,0.45,kg,0.45,tomate,dia
1728,RECONDO pan tostado muLticereaLes paquete 270 gr ,1.99,0.27,kg,0.27,pan,dia
1732,HEINZ ketchup Light boteLLa 550 gr,2.99,0.55,kg,0.55,ketchup,dia
1736,DANONE DANACOL yogur Liquido naturaL pack 6 unidades 100 g,3.99,0.6,kg,0.6,yogur natural,dia
1737,LA ASTURIANA aLubia cocido sin saL frasco 400 gr,1.15,0.399,kg,0.399,sal,dia
1738,LA ASTURIANA garbanzo cocido sin saL frasco 400 gr,1.15,0.399,kg,0.399,sal,dia
1739,DANONE ACTIVIA bifidus fibras con cereaLes 0% pack 4 unidades 120 gr,2.49,0.48,kg,0.48,cereales,dia
1741,DANONE ACTIVIA bifidus de pina 0% M.G pack 4 unidades 120 gr,2.49,0.48,kg,0.48,pina,dia
1742,DIA yogur naturaL aL estiLo griego 1 kg,1.95,1.0,kg,1.0,yogur griego,dia
1746,PRINGLES patatas fritas sabor jamon tubo 165 gr,1.49,0.165,kg,0.165,patatas fritas apetiritivo,dia
1747,KIKKOMAN saLsa de soja boteLLa 250 mL,3.35,0.25,L,0.25,salsa soja,dia
1748,"KELLOGGS cereaLes chocos caja 500 gr
",3.49,0.45,kg,0.45,cereales,dia
1749,DANI oregano hoja 60 gr,2.29,0.065,kg,0.065,oregano,dia
1755,IBERITOS pate iberico pack 3 x 25 gr ,1.09,0.069,kg,0.069,pate,dia
1756,NESTLE chocoLate con Leche para postres tabLeta 170 gr,1.95,0.17,kg,0.17,chocolate con leche,dia
1757,ORBIT chicLe grageas sabor bubbLemint paquete 5 uds ,2.29,0.081,kg,0.081,chicles,dia
1761,DANI pimienta negra grano frasco 45 gr,1.85,0.045,kg,0.045,pimienta negra,dia
1762,DANI cLavo en grano frasco 30 gr,1.15,0.03,kg,0.03,clavo en grano,dia
1763,Barra de pan de horno de piedra 600 gr,1.39,0.599,kg,0.599,pan,dia
1764,HELLMANN'S mayonesa bote 430 mL,2.39,0.43,L,0.43,mayonesa,dia
1766,TRIDENT chicLe grageas sabor hierbabuena boLsa 43 gr,1.0,0.043,kg,0.043,chicles,dia
1767,BICENTURY tortita de maiz queso & aLbahaca paquete 123 gr,1.89,0.123,kg,0.123,albahaca,dia
1771,ALPRO bebida de arroz envase 1 Lt,1.95,1.0,L,1.0,arroz,dia
1773,FINI goLosinas sugar shuffLe mix boLsa 180 gr ,1.29,0.18,kg,0.18,golosinas,dia
1774,MILKA chocoLate con Leche + chips ahoy tabLeta 100 gr,1.19,0.1,kg,0.1,chocolate con leche,dia
1775,LA VIEJA FABRICA Diet mermeLada extra de naranja amarga frasco 300 gr,2.25,0.29,kg,0.29,mermelada,dia
1776,DIA VEGECAMPO aLubias bLancas paquete 1 kg,1.65,1.0,kg,1.0,alubias blancas,dia
1778,DIA oregano frasco 15 gr ,0.55,0.015,kg,0.015,oregano,dia
1780,VIDAL regaLiz bLanco reLLeno caja 300 gr,2.39,0.3,kg,0.3,golosinas,dia
1781,CAPRICHO ANDALUZ set aLino aceite de oLiva y vinagre boLsa 5+5 uds ,1.75,1.0,ud,1.0,aceite de oliva,dia
1787,VALOR chocoLate negro 70% tabLeta 200 gr,2.59,0.2,kg,0.2,chocolate negro,dia
1791,SERPIS aceitunas reLLenas de anchoa pack 4 Latas 120 gr,2.65,0.2,kg,0.2,aceitunas,dia
1792,AZUCARERA azucar bLanco en azucaritos caja 300 gr,1.25,0.3,kg,0.3,azucar,dia
1793,LAVAZZA Rossa cafe moLido naturaL paquete 250 gr,3.75,0.25,kg,0.25,cafe,dia
1794,MARCILLA cafe gran aroma fuerte estuche 28 uds 194 gr,4.09,27.267,ud,27.267,cafe,dia
1795,MARCILLA cafe gran aroma naturaL estuche 28 capsuLas,4.09,27.267,ud,27.267,cafe en capsulas,dia
1798,POMPADOUR infusion digestive pLus estuche 20 boLsitas ,2.55,19.615,ud,19.615,infusiones otras,dia
1799,"TRIDENT chicLe grageas sabor fresa boLsa 43 gr
",1.0,0.043,kg,0.043,chicles,dia
1800,TRIDENT chicLe grageas sabor menta boLsa 43 gr ,1.0,0.043,kg,0.043,chicles,dia
1803,RECONDO pan tostado integraL sin saL 30 uds paquete 270 gr,1.79,0.27,kg,0.27,sal,dia
1805,ORBIT chicLe grageas sabor hierbabuena bote 84 gr,3.19,0.084,kg,0.084,chicles,dia
1806,ORBIT chicLe grageas sabor fresa bote 84 gr,3.19,0.084,kg,0.084,chicles,dia
1807,ORBIT chicLe grageas sabor eucaLipto bote 84 gr,3.19,0.084,kg,0.084,chicles,dia
1808,ORBIT chicLe grageas sabor menta bote 84 gr,3.19,0.084,kg,0.084,chicles,dia
1809,BORGES nuez de caLifornia con cascara boLsa 500 gr,3.99,0.5,kg,0.5,nueces,dia
1811,GALLINA BLANCA avecrem poLLo bajo en saL  estuche 10 pastiLLas ,1.75,9.722,ud,9.722,sal,dia
1812,BONDUELLE guisantes extra finos frasco 465 gr,2.55,0.465,kg,0.465,guisantes congelados,dia
1813,DIA VEGECAMPO aLcaparras en vinagre frasco 80 gr,0.99,0.08,kg,0.08,alcaparras,dia
1816,GREFUSA MisterCorn mix5 cocktaiL frutos secos boLsa 300 gr,2.35,0.3,kg,0.3,frutos secos,dia
1817,ASTURIANA Leche semidesnatada boteLLa 2.2 Lt,1.65,2.2,L,2.2,leche semidesnatada,dia
1818,DIA torta de aceite de oLiva paquete 180 gr,1.05,0.18,kg,0.18,aceite de oliva,dia
1819,GALLO fideos SIN GLUTEN paquete 450 gr,1.85,0.45,kg,0.45,fideos,dia
1820,OROWEAT pan moLde 12 cereaLes y semiLLas boLsa 680 gr,2.59,0.59,kg,0.59,semillas,dia
1821,HALLS carameLo sabor menta extrafuerte paquete 2 uds 64 gr,1.79,0.064,kg,0.064,caramelos,dia
1822,"LA ESTRELLA cafe moLido descafeinado mezcLa paquete 250 gr
",2.29,0.25,kg,0.25,cafe descafeinado,dia
1824,ANETO caLdo de poLLo bajo en saL envase 1 Lt,3.65,1.0,L,1.0,sal,dia
