,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
5758,TRESEMMÃÂÃÂ champu purifica & hidrata cabeLLo graso bote 685 mL,4.95,0.685,L,0.685,champu,dia
5759,DUREX preservativos dame pLacer caja 12 uds,6.9,11.897,ud,11.897,preservativos,dia
5760,DUREX preservativos reaL feeL caja 12 uds,10.45,12.011,ud,12.011,preservativos,dia
5761,DUREX preservativos invisibLe sensitivo caja 12 uds,12.99,12.028,ud,12.028,preservativos,dia
5762,SANEX desodorante zero % extra controL roLL on 50 mL,2.29,0.05,L,0.05,desodorante,dia
5768,SANEX desodorante zero % invisibLe roLL on 50 mL,2.39,0.05,L,0.05,desodorante,dia
5769,LA TOJA geL de ducha aceite de argan y avena bote 550 mL,2.99,0.55,L,0.55,gel de ducha,dia
5770,LA TOJA geL de ducha agua de coco y te verde bote 550 mL,2.99,0.55,L,0.55,agua otro,dia
5771,LA TOJA SeLection geL de ducha exfoLiante y esencia de vainiLLa tubo 200 mL,2.69,0.2,L,0.2,gel de ducha,dia
5772,TIMOTEI champu suavidad con Leche de aLmendras cabeLLo normaL bio bote 250 mL,3.99,0.25,L,0.25,leche almendras,dia
5773,TIMOTEI champu nutritivo con mieL y jojoba cabeLLo seco bio bote 250 mL,3.99,0.25,L,0.25,champu,dia
5775,SANEX desodorante natur protect invisibLe fresh spray 200 mL,3.49,0.2,L,0.2,desodorante,dia
5776,BONTE geL de manos hidroaLcohoLico dosificador 500 mL,3.0,0.5,L,0.5,gel de ducha,dia
5778,ORIGINAL REMEDIES champu te verde y 5 pLantas bote 300 mL,3.69,0.3,L,0.3,champu,dia
5782,ELVIVE champu fuLL resist men fortificante bote 370 mL,3.89,0.25,L,0.25,champu,dia
5785,GLISS champu spLit hair miracLe cabeLLo encrespado bote 250 mL,2.79,0.25,L,0.25,champu,dia
5787,SCHWARZKOPF champu coLor protect & shine bote 350 mL,1.99,0.35,L,0.35,champu,dia
5788,GLISS champu uLtimate oiL eLixir cabeLLo castigado bote 250 mL,2.79,0.25,L,0.25,champu,dia
5789,SCHWARZKOPF champu repara & regenera bote 350 mL,1.99,0.35,L,0.35,champu,dia
5793,HS champu anticaspa prevencion de La caida bote 255 mL,2.99,0.255,L,0.255,champu,dia
5794,HERBAL ESSENCES champu aceite de argan bio bote 250 mL,3.89,0.25,L,0.25,champu,dia
5795,HS champu anticaspa menthoL fresh bote 255 mL,3.19,0.255,L,0.255,champu,dia
5796,HS champu anticaspa + acondicionador cLasico 2 en 1 bote 255 mL,2.99,0.255,L,0.255,champu,dia
5797,HERBAL ESSENCES champu purificante fresa y menta bio bote 250 mL,3.89,0.25,L,0.25,champu,dia
5803,PANTENE Pro-v champu cuidado cLasico bote 270 mL,3.19,0.27,L,0.27,champu,dia
5804,PANTENE Pro-v champu suave y Liso bote 270 mL,2.99,0.27,L,0.27,champu,dia
5805,PANTENE Pro-v champu anticaspa bote 270 mL,2.99,0.27,L,0.27,champu,dia
5806,PANTENE Pro-v champu repara y protege bote 270 mL,3.19,0.27,L,0.27,champu,dia
5807,HS champu anticaspa suave y sedoso bote 255 mL,2.99,0.255,L,0.255,champu,dia
5808,HS champu anticaspa nutre y cuida bote 255 mL,2.99,0.255,L,0.255,champu,dia
5809,PANTENE Pro-v champu purificante bote 270 mL,2.99,0.27,L,0.27,champu,dia
5810,PANTENE Pro-v champu aquaLight bote 270 mL,2.99,0.27,L,0.27,champu,dia
5811,PANTENE Pro-v champu rizos definidos bote 270 mL,2.99,0.27,L,0.27,espaguetis,dia
5815,NIVEA Locion corporaL aguacate pieL seca bote 350 mL,4.79,0.35,L,0.35,agua otro,dia
5816,ELVIVE champu fuLL resist fortificante cabeLLo fragiL bote 285 mL,2.99,0.285,L,0.285,champu,dia
5818,ELVIVE champu totaL repair 5 cabeLLo danado bote 285 mL,2.99,0.285,L,0.285,champu,dia
5819,ELVIVE champu protector deL coLor cabeLLo tenido bote 285 mL,2.99,0.285,L,0.285,champu,dia
5820,ELVIVE champu dream Long reconstructor bote 285 mL,2.99,0.285,L,0.285,champu,dia
5821,FRUCTIS champu pure fresh agua de coco bote 300 mL,2.99,0.3,L,0.3,agua otro,dia
5822,GARNIER champu deLicatesse de avena bote 250 mL,2.99,0.25,L,0.25,champu,dia
5823,ELVIVE champu nutritivo aceite extraordinario cabeLLo seco bote 285 mL,2.99,0.285,L,0.285,champu,dia
5825,BODY NATUR manteca corporaL de mango tarro 200 mL,4.99,0.2,L,0.2,mango,dia
5828,BODY NATUR exfoLiante corporaL de mango tarro 200 mL,4.99,0.2,L,0.2,mango,dia
5829,FRUCTIS champu hair food banana cabeLLo seco bote 350 mL,4.99,0.35,L,0.35,champu,dia
5834,GLISS champu spLit hair miracLe cabeLLo encrespado bote 370 mL,3.95,0.37,L,0.37,champu,dia
5835,INSTITUTO ESPAÃÂÃÂOL oLeogeL de bano y ducha bote 300 mL,5.69,0.3,L,0.3,gel de ducha,dia
5839,LACTOVIT geL de bano reparador con Lactourea bote 900 mL,2.99,0.901,L,0.901,gel de ducha,dia
5840,LACTOVIT geL de bano nutritivo bote 900 mL,2.99,0.901,L,0.901,gel de ducha,dia
5842,S3 agua de coLonia cLasica fresh bote 750 mL,3.09,0.75,L,0.75,agua otro,dia
5845,SANEX Advanced geL de ducha atopiderm bote 600 mL,3.89,0.6,L,0.6,gel de ducha,dia
5847,SANEX geL de ducha. cuerpo y cabeLLo dermo kids bote 475 mL,3.39,0.475,L,0.475,gel de ducha,dia
5848,SANEX geL de ducha zero kids bote 475 mL,3.39,0.475,L,0.475,gel de ducha,dia
5851,PALETTE NaturaLs creme tinte Rubio CLaro HeLado NÃÂÃÂº 8.1 caja 1 ud,3.99,1.0,ud,1.0,helado,dia
5853,MAGNO geL de ducha cLassic bote 650 mL,3.49,0.65,L,0.65,gel de ducha,dia
5855,MAGNO geL de ducha bLack energy bote 650 mL,3.49,0.65,L,0.65,gel de ducha,dia
5856,BODY NATUR crema geL depiLatoria hidratante tubo 200 mL,3.5,0.2,L,0.2,gel de ducha,dia
5859,NIKE coLonia indigo man spray 200 mL,9.95,0.2,L,0.2,colonia,dia
5860,TITTO BLUNI coLonia acqua uomo spray 150 mL,9.9,0.15,L,0.15,colonia,dia
5863,LA TOJA geL de ducha Leche de avena boteLLa 650 mL,2.65,0.65,L,0.65,gel de ducha,dia
5864,TABAIBALOE geL hidratante con aLoe vera bote 300 mL,3.99,0.3,L,0.3,gel de ducha,dia
5865,TABAIBALOE crema hidratante cara y cuerpo aLoe tarro 300 mL,1.99,0.3,L,0.3,crema hidratante,dia
5868,IDC INSTITUTE crema de manos pLatano tubo 40 mL,1.99,0.04,L,0.04,platano,dia
5873,BODY NATUR crema hidratante para pies tubo 100 mL,1.89,0.1,L,0.1,crema hidratante,dia
5874,LA TOJA geL de bano aLoe vera boteLLa 650 mL,2.65,0.65,L,0.65,gel de ducha,dia
5875,LA TOJA geL de bano yoghurt griego boteLLa 650 mL,2.65,0.65,L,0.65,gel de ducha,dia
5876,LA TOJA geL de bano hidrotermaL boteLLa 650 mL,2.65,0.65,L,0.65,gel de ducha,dia
5877,LA TOJA geL de ducha aceite de coco bote 650 mL,2.65,0.65,L,0.65,aceite de coco,dia
5882,DIA IMAQE NaturaLs champu soLido hidratante con cannabis y aceite de canamo 60 gr,3.29,0.06,kg,0.06,champu,dia
5883,DIA IMAQE NaturaLs champu soLido reparador con aguacate y arandanos 60 gr,3.29,0.06,kg,0.06,agua otro,dia
5885,PANTENE Pro-v champu repara y protege pack 2 x 360 mL,6.29,0.72,L,0.72,champu,dia
5887,HS champu anticaspa menthoL fresh bote 510 mL,5.99,0.51,L,0.51,champu,dia
5890,AROME DE FLEUR coLonia fLores bLancas spray 150 mL,5.97,0.15,L,0.15,colonia,dia
5893,AROME DE FLEUR coLonia bergamota spray 150 mL,5.97,0.15,L,0.15,colonia,dia
5895,SANEX geL de ducha zero % famiLy dosificador 750 mL,3.79,0.75,L,0.75,gel de ducha,dia
5896,SKIN preservativos eLite caja 10 uds,8.99,9.989,ud,9.989,preservativos,dia
5897,SKIN preservativos king size caja 10 uds,8.99,9.989,ud,9.989,preservativos,dia
5898,SKIN preservativos originaL caja 10 uds,7.99,9.987,ud,9.987,preservativos,dia
5899,BATISTE champu seco cherry spray 200 mL,3.25,0.2,L,0.2,champu,dia
5900,BATISTE champu seco originaL spray 200 mL,3.25,0.2,L,0.2,champu,dia
5901,FLOR DE MAYO mini coLonia Ms. GoLd spray 20 mL,1.55,0.02,L,0.02,colonia,dia
5903,FROZEN pack coLonia 150 mL + sombras ojos + Lip gLoss,8.0,0.15,L,0.15,colonia,dia
5904,CAPITAN AMERICA pack coLonia 150 mL + geL de ducha 100 mL,8.0,0.25,L,0.25,gel de ducha,dia
5905,CRY BABIES pack coLonia 150 mL + 2 esmaLtes de unas,8.0,0.15,L,0.15,colonia,dia
5906,MY UNICORN pack coLonia 150 mL + 2 esmaLtes unas + LLavero,8.0,0.15,L,0.15,colonia,dia
