,producto,precio,cantidad,medida,categoria,supermercado
1091,Tetina silicona tres posiciones +1 mes Deliplus,2.5,2.0,ud,tetina,mercadona
1092,Tetina latex tres posiciones +1 mes Deliplus,2.5,2.0,ud,tetina,mercadona
1093,Tetina silicona papillas espesas +4 meses Deliplus,2.5,2.0,ud,papilla,mercadona
1094,Tetina latex papillas espesas +4 meses Deliplus,2.5,2.0,ud,papilla,mercadona
1096,Cepillo limpiabiberon y tetina Deliplus,1.95,1.0,ud,biberon,mercadona
1097,Limpiador bebe para biberones y tetinas Deliplus,2.6,0.5,L,biberon,mercadona
1098,Chupete latex anatomico +0 a 6 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1099,Chupete silicona anatomico +0 a 6 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1100,Chupete silicona reversible +0 a 6 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1101,Chupete todo latex anatomico +6 a 18 meses Deliplus,2.5,1.0,ud,chupete,mercadona
1102,Chupete latex anatomico +6 a 18 meses Deliplus luminiscente,1.95,1.0,ud,chupete,mercadona
1103,Chupete silicona anatomico +6 a 18 meses Deliplus luminiscente,1.95,1.0,ud,chupete,mercadona
1104,Chupete silicona reversible +6 a 18 meses Deliplus luminiscente,1.95,1.0,ud,chupete,mercadona
1105,Chupete silicona reversible +18 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1106,Chupete latex anatomico +18 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1107,Chupete silicona anatomico +18 meses Deliplus,1.95,1.0,ud,chupete,mercadona
1108,Broche pinza chupete Deliplus,2.6,1.0,ud,chupete,mercadona
1109,Portachupetes Deliplus,3.95,1.0,ud,chupete,mercadona
1111,Cucharas bebe +6 meses para pures y papillas Deliplus,2.0,2.0,ud,papilla,mercadona
1122,Gel corporal infantil Deliplus,1.8,0.6,L,gel de ducha,mercadona
1123,Champu infantil Deliplus,2.15,0.6,L,champu,mercadona
1124,Gel - champu bebe para pieles atopicas Deliplus,3.7,0.6,L,gel de ducha,mercadona
1125,Pomada del panal sin perfume Deliplus,2.75,0.1,L,panales,mercadona
1127,Crema protectora para panal Johnson's,3.25,0.1,L,panales,mercadona
1132,Agua de colonia bebe Nenuco,2.4,0.6,L,agua otro,mercadona
1133,Agua de colonia fresca infantil Deliplus con notas citricas,1.65,0.6,L,agua otro,mercadona
1134,Agua de colonia fresca infantil Deliplus con notas citricas,1.45,0.1,L,agua otro,mercadona
1135,Agua perfumada bebe con notas florales Deliplus,2.15,0.1,L,agua otro,mercadona
1143,Aspirador nasal anatomico +0 meses Deliplus,3.95,1.0,ud,sal,mercadona
1144,Recambios recarga aspirador nasal anatomico Deliplus,3.15,10.0,ud,sal,mercadona
1148,Toallitas bebe frescas & perfumadas Deliplus,0.95,80.0,ud,toallitas bebe,mercadona
1149,Toallitas bebe frescas & perfumadas Deliplus,0.7,24.0,ud,toallitas bebe,mercadona
1150,Toallitas bebe pieles sensibles Deliplus,1.55,80.0,ud,toallitas bebe,mercadona
1151,Toallitas bebe pieles sensibles Deliplus,0.9,24.0,ud,toallitas bebe,mercadona
1152,Toallitas bebe cremosas Deliplus,1.35,80.0,ud,toallitas bebe,mercadona
1154,Toallitas bebe pieles con tendencia atopica Deliplus,1.6,60.0,ud,toallitas bebe,mercadona
1155,Toallitas bebe pieles con tendencia atopica Deliplus,0.95,24.0,ud,toallitas bebe,mercadona
1157,Panales bebe talla 0 hasta 3 kg Deliplus,4.65,24.0,ud,panales,mercadona
1158,Panales bebe talla 1 de 2-5 kg Dodot,9.95,44.0,ud,panales,mercadona
1159,Panales bebe talla 1 de 2-4 kg Deliplus,4.85,30.0,ud,panales,mercadona
1160,Panales bebe talla 2 de 3-6 kg Deliplus,6.95,50.0,ud,panales,mercadona
1161,Panales bebe talla 2 de 4-8 kg Dodot,12.97,58.0,ud,panales,mercadona
1162,Panales bebe talla 3 de 4-10 kg Deliplus,14.3,108.0,ud,panales,mercadona
1163,Panales bebe talla 3 de 4-10 kg Deliplus,4.9,36.0,ud,panales,mercadona
1164,Panales bebe talla 3 de 6-10 kg Dodot,19.95,98.0,ud,panales,mercadona
1165,Panales bebe talla 4 de 9-15 kg Deliplus,15.0,102.0,ud,panales,mercadona
1166,Panales bebe talla 4 de 9-15 kg Deliplus,5.2,34.0,ud,panales,mercadona
1167,Panales bebe talla 4 de 9-14 kg Dodot,19.95,92.0,ud,panales,mercadona
1168,Panales bebe talla 5 de 13-18 kg Deliplus,15.0,90.0,ud,panales,mercadona
1169,Panales bebe talla 5 de 13-18 kg Deliplus,5.2,30.0,ud,panales,mercadona
1170,Panales bebe talla 5 de 11-16 kg Dodot,19.95,86.0,ud,panales,mercadona
1171,Panales bebe talla 6 de 17-28 kg Deliplus,5.65,22.0,ud,panales,mercadona
1172,Panales bebe talla 6 mas de 13 kg Dodot,9.95,30.0,ud,panales,mercadona
1173,Panal junior talla 34-46 mas de 25 kg Deliplus,8.5,20.0,ud,panales,mercadona
1174,Panal banador desechable talla S Deliplus de 6-12 kg,2.95,6.0,ud,panales,mercadona
1175,Panal banador desechable talla M Deliplus de 11-18 kg,2.95,6.0,ud,panales,mercadona
1177,Panal bebe braguita talla M de 8-14 kg Deliplus,6.95,26.0,ud,panales,mercadona
1178,Panal bebe braguita talla L de 12-18 kg Deliplus,6.95,24.0,ud,panales,mercadona
