,producto,precio,cantidad,medida,categoria,supermercado
2486,Cuartos traseros de pollo congelados,4.3,2.0,kg,gel de ducha,mercadona
2487,Solomillo de cerdo marinado congelado,5.64,0.8,kg,gel de ducha,mercadona
2488,Jamoncitos de pavo duplo congelados,2.08,0.67,kg,gel de ducha,mercadona
2489,Entrecot de vacuno congelado,4.41,0.3,kg,gel de ducha,mercadona
2490,Chuletas de cordero palo o rinonada congeladas,4.86,0.35,kg,gel de ducha,mercadona
2491,Paletilla de cordero entera congelada,13.08,2.0,kg,gel de ducha,mercadona
2492,Paletilla de lechal entera congelada,11.38,0.65,kg,gel de ducha,mercadona
2493,Lomo de vacuno congelado,3.31,0.265,kg,gel de ducha,mercadona
2494,Pierna de lechal entera congelada,7.74,0.65,kg,gel de ducha,mercadona
2495,Pieza solomillo de vacuno anojo congelado,38.47,57.0,kg,gel de ducha,mercadona
2496,Medio cochinillo congelado,31.79,4.0,kg,gel de ducha,mercadona
2497,Rabo de vacuno anojo congelado,11.55,1.0,kg,gel de ducha,mercadona
2498,Chuletas cordero de lechal congeladas,6.98,0.39,kg,gel de ducha,mercadona
2499,Carrillada de vacuno congelado,8.3,0.79,kg,gel de ducha,mercadona
2500,Pechugas de pollo enteras congeladas,4.6,1.0,kg,gel de ducha,mercadona
2501,Entrana de vacuno congelada,6.9,0.75,kg,gel de ducha,mercadona
2502,Solomillos de pechuga de pollo congelados,4.95,1.0,kg,gel de ducha,mercadona
2503,Helado mini blanco almendrado Hacendado,2.1,3.84,L,almendras,mercadona
2504,Helado mini surtido Hacendado,2.25,8.208,L,helado,mercadona
2505,Helado sandwich de nata Hacendado,1.45,6.4,L,helado,mercadona
2506,Helado mini sandwich nata Hacendado,1.9,2.88,L,helado,mercadona
2507,Helado mini cucurucho nata Hacendado,2.35,5.328,L,helado,mercadona
2508,Helado cucurucho de vainilla Hacendado,1.5,4.32,L,helado,mercadona
2509,Helado mini bombon Hacendado sin azucares anadidos,2.3,3.648,L,helado,mercadona
2510,Helado almendrado Hacendado,2.1,4.32,L,almendras,mercadona
2511,Helado mini cucurucho nata Hacendado sin azucares anadidos,2.85,5.328,L,helado,mercadona
2512,Helado mini bombon almendrado Hacendado,2.0,3.84,L,almendras,mercadona
2513,Helado cucurucho de nata,1.5,4.32,L,helado,mercadona
2514,Helado sandwich super nata Hacendado,2.1,5.22,L,helado,mercadona
2515,Helado mini nocciola Hacendado,2.35,3.84,L,helado,mercadona
2516,Helado cucurucho choco nata Hacendado,1.5,4.32,L,helado,mercadona
2517,Helado choco stick nata,1.85,4.352,L,helado,mercadona
2518,Helado mini chocolate Hacendado,2.35,3.84,L,helado,mercadona
2519,Helado negro Hacendado,2.1,4.32,L,helado,mercadona
2520,Medios cocos helados Hacendado,2.05,0.7,L,helado,mercadona
2521,Helado con mango mochi Hacendado,2.65,1.296,L,helado,mercadona
2522,Helado con coco mochi Hacendado,2.65,1.296,L,helado,mercadona
2523,Helado cucurucho de chocolate Hacendado,2.5,3.96,L,helado,mercadona
2524,Helado bombon de soja Bretona cobertura al chocolate,3.25,1.08,L,helado,mercadona
2525,Crepes rellenos de chocolate Belga Hacendado ultracongelados,2.98,3.24,kg,gel de ducha,mercadona
2526,Crepes Hacendado ultracongelados,2.25,3.2,kg,gel de ducha,mercadona
2527,Helado mini sandwich vainilla y cookie Hacendado,2.0,3.06,L,vainilla,mercadona
2528,Helado con pistacho mochi Hacendado,2.65,1.296,L,helado,mercadona
2529,Helado de horchata Hacendado,1.85,7.5,L,helado,mercadona
2530,Helado sabor chocolate Hacendado,1.5,7.5,L,helado,mercadona
2532,Granizado de cafe Hacendado,2.3,1.2,L,cafe,mercadona
2533,Helado de chocolate Hacendado,2.25,1.0,L,helado,mercadona
2534,Helado de vainilla Hacendado,1.35,1.0,L,helado,mercadona
2535,Helado de leche merengada Hacendado,1.95,1.0,L,helado,mercadona
2536,Helado vainilla praline con nueces pecan Hacendado,2.55,1.0,L,vainilla,mercadona
2537,Helado chocolate y cookies Hacendado,2.25,0.5,L,helado,mercadona
2538,Helado turron Hacendado,2.45,0.5,L,turron,mercadona
2539,Helado vainilla y nueces de macadamia Hacendado,2.25,0.5,L,helado,mercadona
2540,Helado capuccino Hacendado,2.3,1.0,L,helado,mercadona
2541,Helado tarta de queso Hacendado con fresas,2.25,0.5,L,helado,mercadona
2542,Helado stracciatella Hacendado,2.3,1.0,L,helado,mercadona
2543,Helado dulce de leche y sirope de caramelo Hacendado,2.25,0.5,L,caramelos,mercadona
2544,Helado sabor huevo de chocolate Hacendado,2.55,1.0,L,helado,mercadona
2545,Helado chocolate blanco Hacendado,2.25,0.5,L,helado,mercadona
2546,Helado nata montada Hacendado,1.29,0.5,L,helado,mercadona
2547,Helado menta choco con trocitos sabor chocolate Hacendado,2.49,0.5,L,helado,mercadona
2548,Helado de nata y galleta cacao Hacendado,2.45,1.0,L,helado,mercadona
2549,Sorbete con mango Hacendado,2.2,1.0,L,mango,mercadona
2551,Helado vegetal de soja sabor mango con frambuesa,3.9,1.0,L,helado,mercadona
2552,Helado vegetal de avena sabor vainilla,3.95,1.0,L,helado,mercadona
2553,Helado polvito Hacendado sabor a galleta y merengue,2.55,1.0,L,helado,mercadona
2554,Barra de helado sabor vainilla. chocolate y nata Hacendado,0.99,10.0,L,helado,mercadona
2555,Barra de helado turron Hacendado,1.99,10.0,L,turron,mercadona
2556,Tarta helada nata y chocolate Hacendado,1.45,1.0,L,tarta,mercadona
2557,Tarta helada de limon Hacendado,1.45,1.0,L,tarta,mercadona
2558,Obleas para helado Hacendado,0.4,1.248,kg,helado,mercadona
2560,Tubitos banados chocolate negro Hacendado,1.7,0.15,kg,chocolate negro,mercadona
2562,Cubos de hielo,3.25,10.0,kg,hielo,mercadona
2563,Cubos de hielo,0.69,2.0,kg,hielo,mercadona
2564,Hielo cocktail,0.95,2.0,kg,mix aperitivo,mercadona
2565,Preparado de paella y sopa Hacendado ultracongelado,4.14,0.685,kg,gel de ducha,mercadona
2566,Preparado paella de marisco Hacendado ultracongelado,3.9,0.51,kg,gel de ducha,mercadona
2567,Gambon congelado,1.58,0.15,kg,gel de ducha,mercadona
2568,Gambon congelado,21.0,2.0,kg,gel de ducha,mercadona
2569,Colas de gambon peladas Hacendado ultracongeladas,5.5,0.25,kg,gel de ducha,mercadona
2570,Alistado pequeno congelado,2.3,0.15,kg,gel de ducha,mercadona
2571,Alistado pequeno Hacendado congelado,15.3,1.0,kg,gel de ducha,mercadona
2572,Alistado mediano congelado,3.97,0.15,kg,gel de ducha,mercadona
2573,Alistado mediano Hacendado congelado,26.5,1.0,kg,gel de ducha,mercadona
2574,Langostino crudo ultracongelado,1.43,0.15,kg,gel de ducha,mercadona
2575,Langostino crudo Pescanova ultracongelado,9.25,1.0,kg,gel de ducha,mercadona
2576,Langostino cocido Pescanova ultracongelado,9.75,1.0,kg,gel de ducha,mercadona
2578,Gamba arrocera congelada,2.09,0.15,kg,gel de ducha,mercadona
2579,Gamba arrocera Hacendado congelada,13.95,1.0,kg,gel de ducha,mercadona
2580,Gamba blanca congelada,2.92,0.15,kg,gel de ducha,mercadona
2581,Gamba blanca Hacendado congelada,19.45,1.0,kg,gel de ducha,mercadona
2582,Gamba blanca cocida Hacendado ultracongelada,5.3,0.35,kg,gel de ducha,mercadona
2583,Carabinero Hacendado congelado,54.95,0.5,kg,gel de ducha,mercadona
2584,Langostino cocido y pelado Pescanova ultracongelado,3.65,0.2,kg,gel de ducha,mercadona
2585,Gamba pelada cruda tamano mediano Hacendado ultracongelada,4.5,0.36,kg,gel de ducha,mercadona
2586,Langostino crudo y pelado Pescanova ultracongelado,3.25,0.2,kg,gel de ducha,mercadona
2587,Cola de langosta Hacendado ultracongelada,21.95,0.185,kg,gel de ducha,mercadona
2588,Camaron boreal cocido y pelado Royal Greenland ultracongelado,3.95,0.2,kg,gel de ducha,mercadona
2589,Gamba pelada cruda tamano grande Hacendado ultracongelada,5.65,0.36,kg,gel de ducha,mercadona
2590,Cigala mediana Hacendado ultracongelada,9.5,0.5,kg,gel de ducha,mercadona
2591,Cigala grande Hacendado ultracongelada,11.95,0.5,kg,gel de ducha,mercadona
2592,Bogavante americano grande crudo Hacendado congelado,18.15,0.55,kg,gel de ducha,mercadona
2593,Cuerpos chicos de cangrejo Dimarosa congelados,2.48,0.15,kg,gel de ducha,mercadona
2594,Cuerpos grandes de cangrejo Dimarosa congelados,26.65,0.41,kg,gel de ducha,mercadona
2595,Bocas grandes de cangrejo congeladas,47.5,0.5,kg,gel de ducha,mercadona
2596,Vieira a la gallega Hacendado ultracongelada,2.25,0.12,kg,gel de ducha,mercadona
2597,Buey de mar cocido Hacendado congelado,8.95,0.6,kg,gel de ducha,mercadona
2598,Necora cocida Errigal Bay congelada,5.95,0.5,kg,gel de ducha,mercadona
2599,Tronquitos de surimi Pescanova ultracongelados,1.99,19.2,kg,gel de ducha,mercadona
2600,Tronquitos de surimi Pescanova ultracongelados,3.85,1.2,kg,gel de ducha,mercadona
2601,Carne de mejillon de Chile cocido Hacendado ultracongelado,2.2,0.275,kg,gel de ducha,mercadona
2602,Navaja cruda Hacendado congelada,3.5,0.45,kg,gel de ducha,mercadona
2603,Mejillon de Chile entero cocido Hacendado ultracongelado,2.6,0.45,kg,gel de ducha,mercadona
2604,Almeja del Pacifico Hacendado congelada,2.85,1.0,kg,gel de ducha,mercadona
2605,Almeja del pacifico Hacendado congelada,1.8,0.45,kg,gel de ducha,mercadona
2606,Carne de almeja Hacendado ultracongelada,2.49,0.2,kg,gel de ducha,mercadona
2607,Caracoles precocidos Hacendado ultracongelados,2.09,0.35,kg,gel de ducha,mercadona
2608,Filetes de panga ultracongelados,4.7,0.9,kg,gel de ducha,mercadona
2609,Filetes de merluza del cabo sin piel Hacendado ultracongelados,3.85,0.58,kg,gel de ducha,mercadona
2610,Rodaja de emperador Hacendado ultracongelado,3.11,0.2,kg,gel de ducha,mercadona
2611,Filetes de bacalao sin espinas Hacendado congelado,4.25,0.375,kg,gel de ducha,mercadona
2612,Tubo de pota congelado,1.15,0.1,kg,gel de ducha,mercadona
2613,Medallones de merluza del cabo Hacendado ultracongelados,3.5,0.485,kg,gel de ducha,mercadona
2614,Sepia limpia congelada,5.5,0.4,kg,gel de ducha,mercadona
2615,Filete de salmon rosado salvaje con piel Hacendado ultracongelado,3.18,0.3,kg,gel de ducha,mercadona
2616,Rodajas de merluza del cabo Hacendado ultracongeladas,3.95,0.58,kg,gel de ducha,mercadona
2617,Rodajas de emperador pequenas Hacendado congeladas,13.65,0.9,kg,gel de ducha,mercadona
2618,Sepia limpia troceada Hacendado congelada,3.89,0.36,kg,gel de ducha,mercadona
2619,Calamar limpio troceado Hacendado congelado,3.95,0.475,kg,gel de ducha,mercadona
2620,Lomos y centros de merluza del cabo Hacendado ultracongelados,3.2,0.4,kg,gel de ducha,mercadona
2621,Angurinas de surimi Pescanova ultracongeladas,1.99,0.26,kg,gel de ducha,mercadona
2622,Fritura de pescado Hacendado ultracongelada,4.49,0.6,kg,gel de ducha,mercadona
2623,Porciones de bacalao sin espinas y sin piel Hacendado congelado,5.98,0.6,kg,gel de ducha,mercadona
2624,Rodaja de poton del pacifico cocido Hacendado congelado,4.75,0.475,kg,gel de ducha,mercadona
2625,Rodaja de tintorera con piel Hacendado ultracongelada,3.26,0.75,kg,gel de ducha,mercadona
2626,Porciones de merluza del cabo Hacendado ultracongeladas,3.8,0.5,kg,gel de ducha,mercadona
2627,Sepia limpia pequena Hacendado congelada,3.59,0.36,kg,gel de ducha,mercadona
2628,Tacos de bacalao sin espinas Hacendado congelado,3.98,0.4,kg,gel de ducha,mercadona
2629,Pescadilla de merluza del cabo sin cabeza Mascato ultracongelada,3.95,1.0,kg,gel de ducha,mercadona
2630,Cola de rape del cabo Hacendado ultracongelada,6.38,0.4,kg,gel de ducha,mercadona
2631,Lomo de bacalao sin espinas Hacendado congelado,5.25,0.39,kg,gel de ducha,mercadona
2632,Tiras de poton del Pacifico Hacendado congeladas,3.5,0.4,kg,gel de ducha,mercadona
2633,Filetes de abadejo de Alaska sin piel Hacendado ultracongelados,4.95,0.85,kg,gel de ducha,mercadona
2634,Tinta de sepia Nortindal congelada,1.2,0.256,kg,gel de ducha,mercadona
2635,Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados,7.25,0.97,kg,gel de ducha,mercadona
2636,Filete de fletan negro Hacendado congelado,2.8,0.2,kg,gel de ducha,mercadona
2637,Merluza del cabo sin cabeza Hacendado ultracongelada,3.74,0.7,kg,gel de ducha,mercadona
2638,Angurinas de surimi Pescanova ultracongeladas,3.85,0.52,kg,gel de ducha,mercadona
2639,Anillas de pota Argentina Hacendado congeladas,4.6,0.36,kg,gel de ducha,mercadona
2640,Pulpo crudo grande Hacendado congelado,22.33,4.0,kg,gel de ducha,mercadona
2641,Chipiron puntilla Hacendado congelado,3.75,0.45,kg,gel de ducha,mercadona
2642,Pulpo cocido troceado Profand congelado,6.95,0.285,kg,gel de ducha,mercadona
2643,Lenguado entero Hacendado ultracongelado,5.9,0.6,kg,gel de ducha,mercadona
2644,Lomos de salmon de Noruega sin piel y sin espinas Hacendado congelado,4.65,0.5,kg,gel de ducha,mercadona
2645,Migas de bacalao sin espinas y sin piel Hacendado congeladas,2.98,0.3,kg,gel de ducha,mercadona
2646,Migas de bacalao dorado con cebolla y patatas paja Hacendado congelado,2.1,0.24,kg,gel de ducha,mercadona
2647,Rodajas de rape del cabo sin piel Mascato congeladas,6.75,0.3,kg,gel de ducha,mercadona
2648,Filetes de merluza Argentina sin piel Hacendado ultracongelados,5.9,0.97,kg,gel de ducha,mercadona
2649,Gallos sin cabeza Hacendado ultracongelado,6.25,0.6,kg,gel de ducha,mercadona
2650,Calamar patagonico pequeno Hacendado ultracongelado,8.5,1.0,kg,gel de ducha,mercadona
2651,Rodajas de atun congelado Hacendado,3.53,0.25,kg,gel de ducha,mercadona
2652,Colas de rape del cabo Hacendado ultracongeladas,8.95,0.8,kg,gel de ducha,mercadona
2653,Carne de Vieira ultracongelada Hacendado,8.5,0.213,kg,gel de ducha,mercadona
2654,Pizzas tomate y queso Hacendado ultracongeladas,1.8,0.57,kg,gel de ducha,mercadona
2655,Pizza 4 quesos rellena de gorgonzola Hacendado ultracongelada,2.95,0.54,kg,gel de ducha,mercadona
2656,Pizza bolonesa Hacendado ultracongelada,2.0,0.4,kg,gel de ducha,mercadona
2657,Pizza iberica Hacendado ultracongelada,2.0,0.38,kg,gel de ducha,mercadona
2658,Pizza reina con crema de queso fresco Hacendado ultracongelada,1.89,0.39,kg,gel de ducha,mercadona
2659,Pizza salmon y gambas Hacendado ultracongelada,2.0,0.39,kg,gel de ducha,mercadona
2660,Pizza masa fina 4 quesos Hacendado ultracongelada,2.2,0.39,kg,gel de ducha,mercadona
2661,Pizza atun Hacendado ultracongelada,2.0,0.39,kg,gel de ducha,mercadona
2662,Pizza Pepperoni barbacoa Hacendado ultracongelada,2.95,0.54,kg,gel de ducha,mercadona
2663,Pizza masa fina jamon Hacendado ultracongelada,2.2,0.4,kg,gel de ducha,mercadona
2664,Pizza americana rellena de cheddar Hacendado ultracongelada,2.95,0.54,kg,gel de ducha,mercadona
2665,Pizza jamon y queso sin gluten y sin lactosa Hacendado ultracongelada,2.99,0.42,kg,gel de ducha,mercadona
2666,Pizza 4 quesos sin gluten y sin lactosa Hacendado ultracongelada,2.99,0.41,kg,gel de ducha,mercadona
2667,Pizza vegana con rucula y tomate seco Hacendado congelada,2.95,0.4,kg,gel de ducha,mercadona
2668,Pizza carbonara rellena de salsa de setas Hacendado ultracongelada,2.95,0.54,kg,salsa carbonara,mercadona
2669,Pizza Truffata con bacon y trufa Hacendado ultracongelada,2.5,0.39,kg,gel de ducha,mercadona
2670,Pizza Tirolesa con speck. champinones y brie Hacendado ultracongelada,2.5,0.375,kg,gel de ducha,mercadona
2671,Pizza Melanzane Hacendado congelada,2.2,0.43,kg,gel de ducha,mercadona
2672,Pizza masa fina Caprese Hacendado ultracongelada,2.2,0.39,kg,gel de ducha,mercadona
2673,Pizza masa fina Barbacoa Hacendado ultracongelada,2.2,0.39,kg,gel de ducha,mercadona
2674,Bases de pizza artesanas extrafinas y crujientes Hacendado ultracongeladas,1.75,1.26,kg,gel de ducha,mercadona
2675,Bases de pizza sin gluten sin lactosa Hacendado ultracongeladas,3.5,0.8,kg,gel de ducha,mercadona
2676,Nuggets de pollo Hacendado ultracongelados,2.25,0.5,kg,gel de ducha,mercadona
2677,Croquetas de cocido Hacendado ultracongeladas,1.4,0.35,kg,gel de ducha,mercadona
2678,Delicias de pollo Hacendado ultracongeladas,2.9,0.5,kg,gel de ducha,mercadona
2679,San Jacobos empanados de york y queso Tenedor Plata ultracongelados,0.99,1.4,kg,gel de ducha,mercadona
2680,Croquetas de jamon Hacendado ultracongeladas,0.95,0.5,kg,gel de ducha,mercadona
2681,Croquetas de pollo Hacendado ultracongeladas,0.95,0.5,kg,gel de ducha,mercadona
2682,Relleno para kebab con carne de pollo y ternera Hacendado ultracongelado,1.98,0.3,kg,gel de ducha,mercadona
2683,Flamenquin de jamon york Tenedor Plata ultracongelado,1.5,1.2,kg,gel de ducha,mercadona
2684,Nuggets de pavo Hacendado ultracongelados,2.6,0.4,kg,gel de ducha,mercadona
2685,Albondigas de carne Tenedor Plata ultracongeladas,1.7,0.4,kg,gel de ducha,mercadona
2686,Croquetas caprichos de jamon sin gluten Hacendado ultracongeladas,2.35,0.35,kg,gel de ducha,mercadona
2687,Croquetas mini caprichos de jamon Hacendado ultracongeladas,2.0,0.45,kg,gel de ducha,mercadona
2688,Samosas de carne Hacendado ultracongeladas,2.4,1.62,kg,gel de ducha,mercadona
2689,Albondigas de bacalao Camos congeladas,1.5,0.4,kg,gel de ducha,mercadona
2690,Aritos de surimi a la romana Pescanova ultracongelados,2.19,0.625,kg,gel de ducha,mercadona
2691,Merluza empanada pan fino Hacendado ultracongelada,3.25,0.51,kg,gel de ducha,mercadona
2692,Filetes de merluza al huevo Hacendado ultracongelados,3.95,0.6,kg,gel de ducha,mercadona
2694,Varitas de merluza empanadas Hacendado ultracongeladas,2.7,0.5,kg,gel de ducha,mercadona
2695,Empanadillas de atun Hacendado ultracongeladas,1.5,0.5,kg,gel de ducha,mercadona
2696,Rabas empanadas Hacendado ultracongeladas,3.55,0.5,kg,gel de ducha,mercadona
2697,Mini empanadillas de atun Hacendado ultracongeladas,1.6,0.5,kg,gel de ducha,mercadona
2698,Anillas de pota a la romana Hacendado ultracongeladas,3.7,0.5,kg,gel de ducha,mercadona
2699,Muslitos de surimi Pescanova ultracongelados,2.15,0.45,kg,gel de ducha,mercadona
2700,Palitos de merluza a la romana Hacendado ultracongelados,1.85,0.5,kg,gel de ducha,mercadona
2701,Figuritas de merluza empanadas Hacendado ultracongeladas,3.0,0.5,kg,gel de ducha,mercadona
2702,Nuggets de merluza Pescanova ultracongelados,1.99,0.33,kg,gel de ducha,mercadona
2703,Chipirones enharinados Hacendado ultracongelado,4.15,0.4,kg,gel de ducha,mercadona
2704,Langostino caballitos rebozados Hacendado ultracongelados,2.95,0.3,kg,gel de ducha,mercadona
2706,Croquetas de merluza y gambas Preli ultracongeladas,1.5,0.35,kg,gel de ducha,mercadona
2707,Bunuelos de bacalao Fresno ultracongelados,1.75,0.35,kg,gel de ducha,mercadona
2708,Tortillitas de camarones Crabss ultracongeladas,2.5,0.3,kg,gel de ducha,mercadona
2709,Chanquitos enharinados Pescanova ultracongelados,1.65,0.185,kg,gel de ducha,mercadona
2710,Rollitos primavera ultracongelados,1.45,1.8,kg,gel de ducha,mercadona
2711,Croquetas de espinacas Hacendado ultracongeladas,1.5,0.35,kg,gel de ducha,mercadona
2712,Aros de cebolla rebozados Hacendado ultracongelados,1.75,0.3,kg,gel de ducha,mercadona
2713,Mini rollitos con setas Hacendado ultracongelados,1.5,6.0,kg,gel de ducha,mercadona
2714,Crocanrol de queso curado Hacendado ultracongelado,2.0,0.3,kg,gel de ducha,mercadona
2715,Fingers de queso Hacendado ultracongelados,2.2,0.3,kg,gel de ducha,mercadona
2716,Tequenos de queso Hacendado ultracongelados,4.0,0.48,kg,gel de ducha,mercadona
2717,Tarta carrot cake Hacendado congelada,8.5,7.5,kg,gel de ducha,mercadona
2718,Tarta red velvet Hacendado congelada,9.0,7.0,kg,gel de ducha,mercadona
2719,Tarta duo sabores Hacendado congelada,9.0,13.080000000000002,kg,tarta,mercadona
2720,Tarta bombon crujiente Hacendado congelada,7.0,6.4,kg,gel de ducha,mercadona
2721,Tarta blanca Hacendado congelado,7.0,4.64,kg,gel de ducha,mercadona
2722,Tarta tres chocolates Hacendado congelada,8.0,7.04,kg,gel de ducha,mercadona
2723,Mousse de queso Hacendado congelado,6.5,3.12,kg,gel de ducha,mercadona
2724,Tarta de tiramisu Hacendado congelada,7.0,3.0,kg,gel de ducha,mercadona
2725,Tarta de la abuela Hacendado congelada,7.5,8.25,kg,gel de ducha,mercadona
2726,Tarta de la abuela Hacendado congelada,11.0,36.0,kg,gel de ducha,mercadona
2727,Mousse de limon Hacendado congelado,8.0,7.245,kg,gel de ducha,mercadona
2728,Tarta San Marcos Hacendado congelada,11.0,39.6,kg,gel de ducha,mercadona
2729,Tarta selva negra Hacendado congelada,11.5,57.0,kg,gel de ducha,mercadona
2730,Brazo de chocolate Hacendado congelado,5.5,4.0,kg,gel de ducha,mercadona
2731,Tarta helada al caramelo Hacendado,4.0,10.0,L,caramelos,mercadona
2732,Trenza hojaldre de mantequilla Hacendado congelada,6.5,0.43,kg,gel de ducha,mercadona
2733,Trufas de chocolate congeladas,3.3,2.448,kg,trufas,mercadona
2734,Lionesas de nata y trufa Hacendado congeladas,4.0,3.5,kg,gel de ducha,mercadona
2735,Roscon de Reyes relleno con crema congelado,6.0,0.8,kg,gel de ducha,mercadona
2736,Roscon de Reyes relleno de preparado a base de nata congelado,8.0,0.8,kg,gel de ducha,mercadona
2737,Roscon de Reyes relleno de preparado a base de nata y cacao congelado,8.0,0.8,kg,gel de ducha,mercadona
2738,Roscon de Reyes sin relleno congelado,4.0,0.4,kg,gel de ducha,mercadona
2739,Roscon de Reyes sin gluten y sin lactosa congelado,7.0,0.37,kg,gel de ducha,mercadona
2740,Tronco de Navidad de trufa congelado,5.5,4.16,kg,gel de ducha,mercadona
2741,Tarta corazon relleno de nata y crema de avellana crujiente Hacendado congelado,5.5,0.32,kg,gel de ducha,mercadona
2742,Tarta Lo que mas me gusta de ti es...todo lo que te hace ser tan tu Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2743,Tarta Yo no envejezco me hago vintage Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2744,Tarta Reina Hacendado congelada,7.5,5.36,kg,gel de ducha,mercadona
2745,Tarta infantil Spiderman Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2746,Tarta infantil Madagascar Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2747,Tarta infantil Frozen II Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2748,Tarta infantil Peppa Pig Hacendado congelada,7.5,5.08,kg,gel de ducha,mercadona
2749,Tarta infantil Paw Patrol Hacendado congelada,11.0,28.0,kg,gel de ducha,mercadona
2750,Tarta infantil Pjmasks Hacendado congelada,11.0,28.0,kg,gel de ducha,mercadona
2751,Churros Hacendado ultracongelados,0.8,12.0,kg,gel de ducha,mercadona
2752,Porras congeladas Hacendado,1.8,1.44,kg,gel de ducha,mercadona
2753,Pina trozos Hacendado ultracongelados,1.8,0.3,kg,gel de ducha,mercadona
2754,Mix de frutos rojos Hacendado ultracongeladas,1.5,0.3,kg,gel de ducha,mercadona
2755,Fresas enteras Hacendado ultracongeladas,1.5,0.3,kg,gel de ducha,mercadona
2756,Arandanos enteros Hacendado ultracongelados,1.8,0.3,kg,gel de ducha,mercadona
2757,Verdura para paella Hacendado ultracongelada,0.75,0.45,kg,gel de ducha,mercadona
2758,Ensaladilla Hacendado ultracongelada,0.65,1.0,kg,gel de ducha,mercadona
2759,Garrofon Hacendado ultracongelado,0.95,0.45,kg,gel de ducha,mercadona
2760,Garbanzo Hacendado ultracongelado,1.05,0.45,kg,gel de ducha,mercadona
2761,Guisante fino Hacendado ultracongelado,1.1,1.0,kg,gel de ducha,mercadona
2762,Judia verde plana Hacendado ultracongelada,1.05,1.0,kg,gel de ducha,mercadona
2763,Cebolla troceada Hacendado ultracongelada,0.8,0.45,kg,gel de ducha,mercadona
2764,Judia verde redonda Hacendado ultracongelada,1.05,1.0,kg,gel de ducha,mercadona
2765,Ajo tierno Hacendado ultracongelado,1.85,0.3,kg,gel de ducha,mercadona
2766,Alcachofa troceada Hacendado ultracongelada,1.7,0.4,kg,gel de ducha,mercadona
2767,Guisante muy tierno Hacendado ultracongelado,0.85,0.3,kg,gel de ducha,mercadona
2768,Espinaca en porciones Hacendado ultracongelada,0.75,0.9,kg,espinacas congeladas,mercadona
2769,Menestra de verduras con habas baby Hacendado ultracongelada,1.05,1.0,kg,gel de ducha,mercadona
2770,Relleno fajitas pollo. pimientos y cebolla Hacendado ultracongelado,1.35,0.3,kg,gel de ducha,mercadona
2771,Habitas muy tiernas Hacendado ultracongeladas,2.95,0.3,kg,gel de ducha,mercadona
2772,Haba fina Hacendado ultracongelada,1.2,0.45,kg,gel de ducha,mercadona
2773,Haba baby Hacendado ultracongelada,1.75,0.45,kg,gel de ducha,mercadona
2774,Salteado de setas Hacendado ultracongeladas,1.6,0.45,kg,gel de ducha,mercadona
2775,Pimiento rojo y verde Hacendado ultracongelado,1.0,0.45,kg,gel de ducha,mercadona
2776,Salteado de verduras asadas Hacendado ultracongeladas,1.5,0.4,kg,gel de ducha,mercadona
2777,Parrillada de verduras Hacendado ultracongeladas,1.1,0.4,kg,gel de ducha,mercadona
2778,Maiz dulce Hacendado ultracongelado,0.95,0.4,kg,gel de ducha,mercadona
2779,Espinacas en porciones Hacendado ultracongelada,1.1,1.0,kg,espinacas congeladas,mercadona
2780,Salteado de gambas. ajetes y esparragos verdes Hacendado ultracongelado,2.4,0.45,kg,gel de ducha,mercadona
2781,Brocoli Hacendado ultracongelado,1.2,1.0,kg,gel de ducha,mercadona
2782,Salteado de pollo Hacendado ultracongelado,1.8,0.45,kg,gel de ducha,mercadona
2783,Menestra de verdura especial Hacendado ultracongelada,1.9,1.0,kg,gel de ducha,mercadona
2784,Cardo Hacendado ultracongelado,1.55,0.45,kg,gel de ducha,mercadona
2785,Salteado de patata y salchicha Hacendado ultracongelado,1.47,0.45,kg,gel de ducha,mercadona
2786,Ajo troceado Hacendado ultracongelado,1.1,0.15,kg,gel de ducha,mercadona
2787,Alcachofa baby Hacendado ultracongelada,2.65,0.3,kg,gel de ducha,mercadona
2788,Pimientos del piquillo rellenos de bacalao Hacendado ultracongelados,1.6,0.185,kg,gel de ducha,mercadona
2789,Tempura de verduras Hacendado ultracongelada,1.85,0.4,kg,gel de ducha,mercadona
2790,Croquetas de setas Hacendado ultracongeladas,1.5,0.35,kg,gel de ducha,mercadona
2791,Pisto de verduras Hacendado ultracongelado,1.69,0.4,kg,gel de ducha,mercadona
2792,Zanahoria baby Hacendado ultracongelada,0.85,0.4,kg,gel de ducha,mercadona
2793,Espinaca picada en porciones Hacendado ultracongelada,1.19,1.0,kg,espinacas congeladas,mercadona
2794,Alcachofa corazones Hacendado ultracongelada,2.7,0.45,kg,gel de ducha,mercadona
2795,Rollitos primavera ultracongelados,1.45,1.8,kg,gel de ducha,mercadona
2796,Croquetas de espinacas Hacendado ultracongeladas,1.5,0.35,kg,gel de ducha,mercadona
2797,Coliflor. brocoli y zanahoria Hacendado ultracongelada,1.85,1.0,kg,gel de ducha,mercadona
